segment,train_start,train_end,validation_start,validation_end,test_start,test_end,breadth_limited,pair,universe_mode,peer_group,ticker_y,ticker_x,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period,zscore_window,volatility_percentile,validation_total_return,validation_sharpe,validation_profit_factor,validation_max_drawdown,validation_volatility,validation_number_of_trades,validation_turnover,validation_average_holding_period,validation_win_rate,spread_half_life,spread_volatility,correlation,coint_pvalue,adf_pvalue,edge_threshold,use_volatility_filter,use_correlation_filter,use_trend_filter,cooldown_days,turnover_penalty,instability_penalty,robust_score
0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,True,META/AMZN,stock_peer_groups,mega_cap_tech,META,AMZN,static,1.75,0.5,2.75,30,34,0.9,0.08794880814727857,3.6658373077626165,inf,-0.014678401876533242,0.05009295114112988,4.0,7.0,15.5,1.0,16.78264890411893,0.0522534429748358,0.9517031330596666,0.037402893439970816,0.009332027802542118,0.0,True,False,False,0,1.75,0.09186786306636756,4.724311320517714
1,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,True,COST/LOW,stock_peer_groups,retail_consumer,COST,LOW,rolling,1.25,0.0,3.0,20,35,0.9,0.10734920508244028,2.6303344564024225,inf,-0.019003598793610355,0.08600513195045265,4.0,7.0,15.25,1.0,17.69942394247418,0.046542096907945384,0.7851333594291,0.07314729734316489,0.02129510749088601,0.0,True,False,False,0,1.75,0.10652929562959382,3.685179727442658
2,2016-01-04,2018-01-02,2018-01-03,2018-07-03,2018-07-05,2018-10-02,True,COST/HD,stock_peer_groups,retail_consumer,COST,HD,rolling,1.25,0.5,3.5,15,36,0.9,0.07628747354272525,2.5341634914782354,5.313580221995762,-0.018241807166562984,0.06250375172621053,9.0,17.0,7.222222222222222,0.8888888888888888,17.86880368996322,0.04046553962763205,0.8597335301570683,0.05182598477290858,0.01407665961168553,0.0,True,False,False,0,1.8888888888888888,0.1042167327379258,3.5757320257322722
3,2016-07-05,2018-07-03,2018-07-05,2019-01-03,2019-01-04,2019-04-04,True,COST/LOW,stock_peer_groups,retail_consumer,COST,LOW,static,1.75,0.0,3.0,20,30,0.9,0.11654818576806636,2.477234151493728,4.247575206788987,-0.04989348460865273,0.09957873824451224,4.0,8.0,16.75,0.5,15.103455751783628,0.05057992228761841,0.8861265909090171,0.03570521066778646,0.009068491878112322,0.0,True,False,False,0,2.0,0.052878938993921244,3.308893316987256
4,2017-01-03,2019-01-03,2019-01-04,2019-07-05,2019-07-08,2019-10-03,True,META/AMZN,stock_peer_groups,mega_cap_tech,META,AMZN,rolling,1.5,0.0,3.5,30,90,0.9,0.28876241379768675,3.8761690683453764,inf,-0.04508183943573818,0.17050560684128327,3.0,4.0,21.333333333333332,1.0,60.999800980046714,0.10921772417389426,0.488308906899677,0.7146024319506077,0.47645453425272083,0.0,True,False,False,0,1.3333333333333333,1.131435523730488,4.857151262921125
5,2017-07-05,2019-07-05,2019-07-08,2020-01-03,2020-01-06,2020-04-03,True,META/AMZN,stock_peer_groups,mega_cap_tech,META,AMZN,rolling,1.25,0.75,4.0,20,63,0.9,0.05760029776233422,2.14683742584934,8.222188546018394,-0.023541965699877987,0.05520603861286293,11.0,20.0,5.818181818181818,0.7272727272727273,31.611026831701885,0.09830650348546402,0.07123979101500665,0.36109506128974445,0.1649626440347584,0.0,True,False,False,0,1.8181818181818181,0.4674404330788392,3.1565042178733353
6,2018-01-03,2020-01-03,2020-01-06,2020-07-06,2020-07-07,2020-10-02,True,META/AMZN,stock_peer_groups,mega_cap_tech,META,AMZN,rolling,1.5,0.75,3.0,20,86,0.9,0.09677241154158578,2.2262394051851206,inf,-0.004437748675446551,0.09114461016463446,2.0,4.0,4.5,1.0,43.14244183209888,0.10541748252639697,0.32203131431146287,0.4951619051985663,0.2599763416282795,0.0,True,False,False,0,2.0,0.730805078795261,3.2009400229678713
7,2018-07-05,2020-07-06,2020-07-07,2021-01-04,2021-01-05,2021-04-06,True,META/AMZN,stock_peer_groups,mega_cap_tech,META,AMZN,static,1.75,0.5,3.0,20,66,0.9,0.09434214823520493,3.669430595486973,inf,-0.012379020124374973,0.053846157397567984,3.0,6.0,12.0,1.0,33.184445206669835,0.10068231334943029,0.6959431313090099,0.3199614337649519,0.13955914740455738,0.0,True,False,False,0,2.0,0.5047810957198711,4.662762975852798
8,2019-01-04,2021-01-04,2021-01-05,2021-07-06,2021-07-07,2021-10-04,True,VEA/EEM,etf_peer_groups,international_equity,VEA,EEM,rolling,2.5,0.0,3.0,20,53,0.9,0.01122634011667234,2.162936182227894,inf,-0.0010305077549529473,0.010438916844279247,1.0,1.0,5.0,1.0,26.294734213531363,0.02834729811381713,0.9384819854564092,0.2324283286641498,0.09125147275579332,0.0,True,False,False,0,1.0,0.27934139174784745,3.2844867891756326
9,2019-07-08,2021-07-06,2021-07-07,2022-01-03,2022-01-04,2022-04-04,True,VEA/VWO,etf_peer_groups,international_equity,VEA,VWO,rolling,1.25,0.25,2.75,15,54,0.9,0.09126032855641109,4.206414154639493,inf,-0.012532609676442541,0.045370973390850736,5.0,8.0,12.0,1.0,26.865028929167632,0.03029068836051382,0.97295670688378,0.2879624673277944,0.12112408655946066,0.0,True,False,False,0,1.6,0.29395799789757227,5.260752050011514
