universe_mode,peer_group,pair,hedge_mode,number_of_trades,average_trade_return,median_trade_return,profit_factor,win_rate,average_holding_period,stop_loss_exit_rate,time_stop_exit_rate,mean_reversion_exit_rate
etf_peer_groups,international_equity,VEA/EEM,rolling,1.0,0.033541136407948535,0.033541136407948535,inf,1.0,20.0,0.0,1.0,0.0
etf_peer_groups,international_equity,VEA/VWO,kalman,2.0,0.007992371557816735,0.007992371557816735,inf,1.0,16.5,0.0,1.0,0.0
etf_peer_groups,international_equity,VEA/VWO,rolling,4.0,0.013920233168190188,0.02232145844544342,2.784177256280654,0.75,8.0,0.25,0.25,0.5
etf_peer_groups,international_equity,VEA/VWO,static,1.0,0.02886415911724738,0.02886415911724738,inf,1.0,20.0,0.0,1.0,0.0
stock_peer_groups,mega_cap_tech,META/AMZN,kalman,130.0,0.001606359522964207,0.002076362683388955,1.2660105230794496,0.5615384615384615,4.769230769230769,0.08461538461538462,0.007692307692307693,0.9076923076923077
stock_peer_groups,mega_cap_tech,META/AMZN,rolling,72.0,0.006486695066672107,0.007675572767101735,1.923244806926868,0.6388888888888888,10.402777777777779,0.1527777777777778,0.18055555555555555,0.6666666666666666
stock_peer_groups,mega_cap_tech,META/AMZN,static,93.0,0.0011424962456024004,0.0064192866986581,1.096437791845882,0.6236559139784946,11.89247311827957,0.15053763440860216,0.27956989247311825,0.5698924731182796
stock_peer_groups,retail_consumer,COST/HD,rolling,4.0,-0.003615464399979812,-0.0035693255652730627,0.0,0.0,13.25,0.0,0.5,0.5
stock_peer_groups,retail_consumer,COST/LOW,rolling,3.0,0.019548802383415203,0.014863672563948827,3.31573537478744,0.6666666666666666,16.666666666666668,0.3333333333333333,0.6666666666666666,0.0
stock_peer_groups,retail_consumer,COST/LOW,static,2.0,0.04345246563020322,0.04345246563020322,inf,1.0,17.5,0.0,1.0,0.0
