pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,universe_mode,peer_group,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period
META/AMZN,2015-03-23,2015-04-09,short_spread,2.5268422062662403,0.39441332634743154,13,0.013826663628144775,0.011791814455359928,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2015-04-28,2015-05-20,long_spread,-2.6754608924918135,-0.48454249294509105,17,0.004747632567985827,0.002737482702563687,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2015-06-23,2015-06-25,short_spread,2.24237964210823,3.152654836783881,3,-0.026235612339851055,-0.02819709003463866,stop_loss,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2015-06-26,2015-07-24,short_spread,2.46368586860073,1.3578126278000726,20,-0.01904419911771371,-0.021006992136284763,time_stop,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2015-08-21,2015-09-11,long_spread,-1.613409250403437,-0.11418132679104905,15,0.005376259451966181,0.0033501778457740716,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2015-10-20,2015-11-03,short_spread,1.6436548187542963,0.21364161777860363,11,0.0036099264835611766,0.0016051898855191649,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2015-11-06,2015-11-10,short_spread,1.877683870225352,0.47606000939314297,3,0.013139030977756816,0.011125484140911412,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2015-11-27,2015-12-17,long_spread,-1.8878848987989034,-0.27114630119240796,15,0.008352351410900294,0.006338042400871213,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2016-01-04,2016-01-05,long_spread,-1.6823384255834635,-0.46999077647852827,2,0.006620725729564514,0.004615105003834996,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2016-01-08,2016-01-12,long_spread,-2.1347797156180652,-3.1122947922986484,3,-0.008589276615351249,-0.010574339001409583,stop_loss,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2016-01-14,2016-01-25,long_spread,-1.5327683329009694,-0.08205479777655815,7,0.007559558732303628,0.005557595231515888,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2016-01-28,2016-01-29,long_spread,-2.0802721151182313,4.330216959696457,2,0.06476251742390327,0.06269875490647925,stop_loss,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2016-03-29,2016-04-05,short_spread,1.5166423700681138,-0.021810468351700012,6,0.014202664058034609,0.012170547641326523,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
META/AMZN,2016-04-12,2016-05-02,long_spread,-1.9074660733033122,-0.3332790734394328,15,0.008419399528211358,0.006408445961939346,mean_reversion,0.002,stock_peer_groups,mega_cap_tech,static,1.5,0.5,3.0,20
