pair,active_days,weighted_pnl,gross_pnl,turnover,absolute_pnl_share
MS/NTRS,45,0.03982962726501736,0.12564515461152548,6.0,0.28343109289798046
NXPI/QCOM,10,-0.0228514672315232,-0.1243940546240771,2.0,0.16261302895600135
COF/MA,43,0.018506549191665403,0.0799467813952522,5.0,0.1316942141653174
MU/QCOM,40,0.012235684197745799,0.08871907787586919,4.0,0.08707019328718615
META/MSFT,40,0.008639407933803316,0.0609630250478615,4.0,0.06147877850767755
COP/OXY,40,-0.008119056281782458,-0.0278621423645461,4.0,0.057775910879963706
ADSK/NOW,48,0.0062050393321527895,0.040385742642904135,6.0,0.044155599741996565
INTU/NOW,30,-0.005625135078986759,-0.014750450263289304,4.0,0.04002895062330405
IEFA/VEA,114,-0.004470061243362461,-0.001638820589127537,13.0,0.03180934471460401
COF/V,3,-0.0026139425695094,-0.016622117693608503,1.0,0.01860104274436226
IYW/QQQ,25,-0.002302796785418796,-0.003579419386911473,3.0,0.016386902274289235
C/WFC,39,0.0022139453347589416,0.011105764782929156,3.0,0.01575462762108875
AMZN/MSFT,36,-0.0018490650040551655,-0.06604528420698161,4.0,0.01315810744227249
INTU/MSFT,13,-0.0017822879885163014,-0.003602169967170496,5.0,0.012682916389925658
GS/NTRS,20,0.001167170806388799,0.005334773732539499,2.0,0.008305689005127834
IYR/VNQ,27,-0.0010268621447228252,-1.7798114508628404e-05,3.0,0.007307240361497962
QQQ/XLK,34,0.0009647061499299584,0.0077563032855144775,5.0,0.006864932894820349
VFH/XLF,40,-0.0001238640691527747,0.0036461026595630552,4.0,0.0008814274925840601
VDE/XLE,0,0.0,0.0,0.0,0.0
