pair,universe_mode,peer_group,ticker_y,ticker_x,stage,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period,zscore_window,use_volatility_filter,volatility_percentile,cooldown_days,stability_score,training_score,training_candidate_pass,validation_total_return,validation_sharpe,validation_max_drawdown,validation_volatility,validation_profit_factor,validation_trades,validation_turnover,validation_average_holding_period,validation_win_rate,robust_score,weight,segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
INTU/NOW,stock_peer_groups,enterprise_software,INTU,NOW,refinement,kalman,2.0,0.0,3.5,20,21,False,0.9,0,0.7977671506121391,1.0778639411853277,True,-0.0505307784709879,-0.7441306794115433,-0.0937654514981076,0.1323802392437198,0.3043931881054618,4.0,8.0,20.0,0.25,1.0778639411853277,0.3,0,2022-06-30,2024-07-02,2024-07-03,2024-12-31,2025-01-02,2025-04-03,504,126,63
IEFA/VEA,etf_peer_groups,developed_international,VEA,IEFA,refinement,kalman,2.0,0.0,3.5,20,25,False,0.9,0,0.9097492916931836,0.8132922666092832,True,-0.0055014092801825,-1.7442029066914393,-0.0094274658496487,0.006290869608233,0.3154566404257264,4.0,8.0,20.0,0.25,0.8132922666092832,0.35,0,2022-06-30,2024-07-02,2024-07-03,2024-12-31,2025-01-02,2025-04-03,504,126,63
IYW/QQQ,etf_peer_groups,us_growth_technology,QQQ,IYW,refinement,kalman,2.0,0.0,3.5,20,24,False,0.9,0,0.7621340737723472,0.7915525766557543,True,0.002699506387459,0.3086148168121925,-0.0079918197753238,0.0175179538218479,1.8721622257343224,4.0,7.0,19.5,0.5,0.7915525766557543,0.35,0,2022-06-30,2024-07-02,2024-07-03,2024-12-31,2025-01-02,2025-04-03,504,126,63
AMZN/MSFT,stock_peer_groups,mega_cap_platforms,MSFT,AMZN,refinement,kalman,2.0,0.0,3.5,20,38,False,0.9,0,0.7342940569687628,0.9809305405545432,True,0.0778500709844016,1.9746100321634792,-0.0150934019756748,0.0819203654829235,5.0,4.0,8.0,13.75,1.0,0.9809305405545432,0.0263981369336926,1,2022-09-29,2024-10-01,2024-10-02,2025-04-03,2025-04-04,2025-07-07,504,126,63
IEFA/VEA,etf_peer_groups,developed_international,VEA,IEFA,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.9943165219479252,0.8943165219479252,True,-0.0054694358921572,-1.4644220292936634,-0.0058398628666574,0.0074493259710096,0.3190465822917937,4.0,8.0,20.0,0.25,0.8943165219479252,0.2903007646721689,1,2022-09-29,2024-10-01,2024-10-02,2025-04-03,2025-04-04,2025-07-07,504,126,63
IYR/VNQ,etf_peer_groups,us_real_estate,VNQ,IYR,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.848666017947044,0.7486660179470439,True,-0.003996502130025,-1.2551572797546755,-0.0069645773446258,0.0063554045054288,0.1143902044260467,3.0,6.0,20.0,0.3333333333333333,0.7486660179470439,0.3402686680020262,1,2022-09-29,2024-10-01,2024-10-02,2025-04-03,2025-04-04,2025-07-07,504,126,63
VDE/XLE,etf_peer_groups,energy_equity,XLE,VDE,refinement,kalman,2.0,0.0,3.5,20,37,False,0.9,0,0.8467833866950492,0.7467833866950491,True,-0.0025414500057681,-0.8052474691557712,-0.0062853084705689,0.0063041999358614,0.0687199712685063,2.0,3.0,19.0,0.5,0.7467833866950491,0.3430324303921122,1,2022-09-29,2024-10-01,2024-10-02,2025-04-03,2025-04-04,2025-07-07,504,126,63
META/MSFT,stock_peer_groups,mega_cap_platforms,MSFT,META,refinement,kalman,2.0,0.0,3.5,20,32,False,0.9,0,0.7102872647946755,1.0130584360244326,True,-0.113863233385054,-1.838299563034635,-0.1453463638247503,0.1168262426710713,0.0,2.0,4.0,19.5,0.0,1.0130584360244326,0.151666944066687,2,2022-12-29,2024-12-31,2025-01-02,2025-07-07,2025-07-08,2025-10-03,504,126,63
QQQ/XLK,etf_peer_groups,us_growth_technology,QQQ,XLK,refinement,kalman,2.0,0.0,3.5,20,28,False,0.9,0,0.8226731294076133,0.9419424097479772,True,0.0071624401147858,0.8701809537414341,-0.008731647660652,0.0165209094914773,5.0,2.0,4.0,20.0,1.0,0.9419424097479772,0.35,2,2022-12-29,2024-12-31,2025-01-02,2025-07-07,2025-07-08,2025-10-03,504,126,63
COF/V,stock_peer_groups,payments_credit,V,COF,refinement,kalman,2.0,0.0,3.5,20,33,False,0.9,0,0.7785695041269471,0.9171150239269444,True,0.0528539596197124,0.908326912202062,-0.0516550164291929,0.1194519933620223,1.840611617775346,5.0,9.0,14.6,0.6,0.9171150239269444,0.1483330559333129,2,2022-12-29,2024-12-31,2025-01-02,2025-07-07,2025-07-08,2025-10-03,504,126,63
VFH/XLF,etf_peer_groups,financial_equity,XLF,VFH,refinement,kalman,2.0,0.0,3.5,20,26,False,0.9,0,0.9972158149664564,0.8972158149664563,True,-0.0067002018121036,-1.847050845229936,-0.0083470423329695,0.0072307218582397,0.1195310844828356,3.0,5.0,16.0,0.3333333333333333,0.8972158149664563,0.35,2,2022-12-29,2024-12-31,2025-01-02,2025-07-07,2025-07-08,2025-10-03,504,126,63
GS/NTRS,stock_peer_groups,capital_markets,GS,NTRS,refinement,kalman,2.0,0.0,3.5,20,28,False,0.9,0,0.8062615585885888,1.1992917360710225,True,0.0564337303726623,1.9020141345777168,-0.0306384961733967,0.0610154386128495,5.0,3.0,5.0,19.0,1.0,1.1992917360710225,0.35,3,2023-03-31,2025-04-03,2025-04-04,2025-10-03,2025-10-06,2026-01-05,504,126,63
ADSK/NOW,stock_peer_groups,enterprise_software,NOW,ADSK,refinement,kalman,2.0,0.0,3.5,20,24,False,0.9,0,0.8815803213756443,1.0591401329490886,True,0.0032239703503085,0.039243467033365,-0.116855904292539,0.1645709508781641,1.096340193294704,5.0,10.0,18.2,0.4,1.0591401329490886,0.1555734492805334,3,2023-03-31,2025-04-03,2025-04-04,2025-10-03,2025-10-06,2026-01-05,504,126,63
IEFA/VEA,etf_peer_groups,developed_international,VEA,IEFA,refinement,kalman,2.0,0.0,3.5,20,25,False,0.9,0,0.993939342738226,0.893939342738226,True,-0.0089253480183904,-3.749049909080622,-0.0098957399521742,0.004740143404463,0.0,3.0,5.0,15.0,0.0,0.893939342738226,0.35,3,2023-03-31,2025-04-03,2025-04-04,2025-10-03,2025-10-06,2026-01-05,504,126,63
MU/QCOM,stock_peer_groups,semiconductors,QCOM,MU,refinement,kalman,2.0,0.0,3.5,20,22,False,0.9,0,0.7305264384640827,0.8735845344437452,True,0.0919147262830979,1.084644592776799,-0.0650936045042395,0.1772726022462734,60.415810303822816,4.0,7.0,16.75,0.75,0.8735845344437452,0.1444265507194665,3,2023-03-31,2025-04-03,2025-04-04,2025-10-03,2025-10-06,2026-01-05,504,126,63
INTU/MSFT,stock_peer_groups,enterprise_software,MSFT,INTU,refinement,kalman,2.0,0.0,3.5,20,27,False,0.9,0,0.7417496237179568,1.1649738811775454,True,-0.0015278967319463,-0.0269487585893197,-0.0506675945025096,0.1133061096431841,0.976156373677306,4.0,8.0,20.0,0.75,1.1649738811775454,0.2071905106872573,4,2023-07-03,2025-07-07,2025-07-08,2026-01-05,2026-01-06,2026-04-07,504,126,63
C/WFC,stock_peer_groups,money_center_banks,C,WFC,refinement,kalman,2.0,0.0,3.5,20,35,False,0.9,0,0.8290140854521783,1.1448165981526532,True,-0.0021899793670563,-0.0509030631663192,-0.0536616119131573,0.0859508731368342,0.990212089728808,4.0,7.0,15.75,0.5,1.1448165981526532,0.2731321959182874,4,2023-07-03,2025-07-07,2025-07-08,2026-01-05,2026-01-06,2026-04-07,504,126,63
ADSK/NOW,stock_peer_groups,enterprise_software,NOW,ADSK,refinement,kalman,2.0,0.0,3.5,20,25,False,0.9,0,0.7304767410442743,1.1119343766042027,True,0.0730422804930026,1.094417484080467,-0.0889529109428406,0.1383564662737886,2.340955941385631,4.0,8.0,16.75,0.75,1.1119343766042027,0.1696772933944552,4,2023-07-03,2025-07-07,2025-07-08,2026-01-05,2026-01-06,2026-04-07,504,126,63
MS/NTRS,stock_peer_groups,capital_markets,MS,NTRS,refinement,kalman,2.0,0.0,3.5,20,22,False,0.9,0,0.7386762402978748,1.0386340832199104,True,-0.0063876872821081,-0.2360789771900879,-0.0310433701329633,0.0539419992706447,0.6215478946047599,2.0,4.0,20.0,0.5,1.0386340832199104,0.35,4,2023-07-03,2025-07-07,2025-07-08,2026-01-05,2026-01-06,2026-04-07,504,126,63
NXPI/QCOM,stock_peer_groups,semiconductors,QCOM,NXPI,refinement,kalman,2.0,0.0,3.5,20,38,False,0.9,0,0.8640595674029237,1.048143905297818,True,-0.0141699079747316,-0.2139733049803827,-0.1081759117592838,0.1315071974049784,0.947268052033429,4.0,8.0,18.0,0.5,1.048143905297818,0.1807954282302959,5,2023-10-02,2025-10-03,2025-10-06,2026-04-07,2026-04-08,2026-07-08,504,126,63
COP/OXY,stock_peer_groups,integrated_energy,COP,OXY,refinement,kalman,2.0,0.0,3.5,20,22,False,0.9,0,0.7296791566808019,1.036569582386648,True,0.0925700384593479,2.076079874290239,-0.0319850741209045,0.0933053161094225,5.0,3.0,6.0,20.0,1.0,1.036569582386648,0.2548182789747614,5,2023-10-02,2025-10-03,2025-10-06,2026-04-07,2026-04-08,2026-07-08,504,126,63
MS/NTRS,stock_peer_groups,capital_markets,MS,NTRS,refinement,kalman,2.0,0.0,3.5,20,29,False,0.9,0,0.89533935897297,0.9537108972628634,True,0.0422008141851304,1.1507138367387473,-0.0303607185827781,0.0748948472996551,3.716719470006916,3.0,5.0,17.666666666666668,0.6666666666666666,0.9537108972628634,0.3174570872021606,5,2023-10-02,2025-10-03,2025-10-06,2026-04-07,2026-04-08,2026-07-08,504,126,63
COF/MA,stock_peer_groups,payments_credit,MA,COF,refinement,kalman,2.0,0.0,3.5,20,21,False,0.9,0,0.7306762218503282,0.8607198802799707,True,0.0078376832376061,0.1634375339135436,-0.0472216420060062,0.0962863020318813,5.458540778150392,3.0,6.0,20.0,0.6666666666666666,0.8607198802799707,0.2469292055927821,5,2023-10-02,2025-10-03,2025-10-06,2026-04-07,2026-04-08,2026-07-08,504,126,63
