pair,selected,selection_decision,segment
INTU/NOW,True,selected,0
IEFA/VEA,True,selected,0
IYW/QQQ,True,selected,0
AMZN/MSFT,True,selected,1
AMZN/GOOGL,False,ticker_concentration,1
IEFA/VEA,True,selected,1
IYR/VNQ,True,selected,1
VDE/XLE,True,selected,1
META/MSFT,True,selected,2
QQQ/XLK,True,selected,2
COF/V,True,selected,2
VFH/XLF,True,selected,2
GS/NTRS,True,selected,3
ADSK/NOW,True,selected,3
MS/NTRS,False,ticker_concentration,3
IEFA/VEA,True,selected,3
MU/QCOM,True,selected,3
INTU/MSFT,True,selected,4
C/WFC,True,selected,4
ADSK/NOW,True,selected,4
MS/NTRS,True,selected,4
NXPI/QCOM,True,selected,5
COP/OXY,True,selected,5
MS/NTRS,True,selected,5
GS/MS,False,ticker_concentration,5
COF/MA,True,selected,5
