pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
INTU/NOW,2025-01-17,2025-01-31,long_spread,-2.0389905702981386,3.520966900782548,10,0.0075901665368633,0.0055676808470181,stop_loss,0.002,0,stock_peer_groups,enterprise_software,kalman,0.3
INTU/NOW,2025-02-27,2025-03-26,short_spread,3.1391640655595023,-0.4246814329651549,20,-0.0242947480419952,-0.0262278638559989,time_stop,0.002,0,stock_peer_groups,enterprise_software,kalman,0.3
VEA/IEFA,2025-01-28,2025-02-25,long_spread,-2.1169492751845174,-0.4230221619744213,20,-0.0006660669503788,-0.0026635667260226,time_stop,0.002,0,etf_peer_groups,developed_international,kalman,0.35
VEA/IEFA,2025-03-04,2025-03-31,long_spread,-3.2507912838830597,-0.8986112740003985,20,3.8839400768431176e-05,-0.0019608325703228,time_stop,0.002,0,etf_peer_groups,developed_international,kalman,0.35
QQQ/IYW,2025-01-28,2025-02-25,short_spread,2.947606503448917,0.4625735604867712,20,0.0004734612294465,-0.0015201299447068,time_stop,0.002,0,etf_peer_groups,us_growth_technology,kalman,0.35
QQQ/IYW,2025-03-28,2025-04-03,short_spread,2.124577644641154,2.330322368247959,5,-0.0040926247478384,-0.0050876940575192,time_stop,0.001,0,etf_peer_groups,us_growth_technology,kalman,0.35
MSFT/AMZN,2025-04-10,2025-05-02,short_spread,2.499122526118903,3.840110863007567,16,-0.0574402162250726,-0.0593272005779702,stop_loss,0.002,1,stock_peer_groups,mega_cap_platforms,kalman,0.0263981369336926
MSFT/AMZN,2025-05-05,2025-06-02,short_spread,3.0521814968510297,-0.1742011676057716,20,-0.0081354442953058,-0.0101264007302614,time_stop,0.002,1,stock_peer_groups,mega_cap_platforms,kalman,0.0263981369336926
VEA/IEFA,2025-04-09,2025-05-07,long_spread,-2.372655914970599,0.3387860224905242,20,0.0003413642221627,-0.0016590309239333,time_stop,0.002,1,etf_peer_groups,developed_international,kalman,0.2903007646721689
VEA/IEFA,2025-05-29,2025-06-26,short_spread,2.6416595959668405,-0.4597817163228541,20,-0.0037369107876809,-0.0057282253258179,time_stop,0.002,1,etf_peer_groups,developed_international,kalman,0.2903007646721689
VEA/IEFA,2025-06-27,2025-06-30,long_spread,-2.5767216169479794,-3.8876024019073134,2,-0.0015482339552785,-0.0035456857213232,stop_loss,0.002,1,etf_peer_groups,developed_international,kalman,0.2903007646721689
VNQ/IYR,2025-05-05,2025-06-02,short_spread,2.1921525821765293,-1.0231426867273696,20,-5.762830716515843e-05,-0.0020559247143541,time_stop,0.002,1,etf_peer_groups,us_real_estate,kalman,0.3402686680020262
VNQ/IYR,2025-06-26,2025-07-07,long_spread,-2.76934335880717,-0.3761394284102864,7,3.816642554244076e-05,-0.0009617516307895,time_stop,0.001,1,etf_peer_groups,us_real_estate,kalman,0.3402686680020262
MSFT/META,2025-07-18,2025-08-14,short_spread,2.106822811322797,-1.6440880818734138,20,0.02208294648983,0.0200433535925566,time_stop,0.002,2,stock_peer_groups,mega_cap_platforms,kalman,0.151666944066687
MSFT/META,2025-09-08,2025-10-03,long_spread,-3.314652582584816,-0.284053984323067,20,0.0391677330615831,0.0370951596274975,time_stop,0.002,2,stock_peer_groups,mega_cap_platforms,kalman,0.151666944066687
QQQ/XLK,2025-07-15,2025-08-11,short_spread,2.705866515209878,1.109429439857364,20,0.0018025555606444,-0.0001963123888,time_stop,0.002,2,etf_peer_groups,us_growth_technology,kalman,0.35
QQQ/XLK,2025-09-05,2025-09-11,short_spread,2.16734913600484,-4.290792660484401,5,0.0085590997109483,0.0065426304213442,stop_loss,0.002,2,etf_peer_groups,us_growth_technology,kalman,0.35
QQQ/XLK,2025-09-23,2025-10-03,long_spread,-2.2556892682153364,-0.1174093918652695,9,-0.0026216474800394,-0.0036184150829677,time_stop,0.001,2,etf_peer_groups,us_growth_technology,kalman,0.35
V/COF,2025-10-01,2025-10-03,short_spread,2.5350020124831505,1.439178434499791,3,-0.0166116050677482,-0.0176082125974458,time_stop,0.001,2,stock_peer_groups,payments_credit,kalman,0.1483330559333129
XLF/VFH,2025-07-24,2025-08-20,short_spread,2.3667395261276485,1.5125765656591004,20,0.000843562677276,-0.0011575634946153,time_stop,0.002,2,etf_peer_groups,financial_equity,kalman,0.35
XLF/VFH,2025-09-08,2025-10-03,long_spread,-2.283052334170774,-0.4956186973476419,20,0.0028008193452795,0.0007957701914895,time_stop,0.002,2,etf_peer_groups,financial_equity,kalman,0.35
GS/NTRS,2025-10-27,2025-11-21,short_spread,2.831756367060626,-1.071104785414278,20,0.0049634477966509,0.0029507947100799,time_stop,0.002,3,stock_peer_groups,capital_markets,kalman,0.35
NOW/ADSK,2025-11-05,2025-12-03,long_spread,-2.418193351063043,0.0814768995688371,20,-0.053973805891675,-0.0558699280149076,time_stop,0.002,3,stock_peer_groups,enterprise_software,kalman,0.1555734492805334
NOW/ADSK,2025-12-05,2025-12-16,short_spread,2.14665863879699,-3.7295123447175262,8,0.0311803577943377,0.0291091555311318,stop_loss,0.002,3,stock_peer_groups,enterprise_software,kalman,0.1555734492805334
