segment,selected_pairs,unique_tickers,peer_groups,maximum_pair_weight,pair_weight_hhi,maximum_ticker_weight,maximum_pair_pnl_share
0,4.0,8.0,4.0,0.3164889378369185,0.2777873812671853,0.1582444689184592,0.3384389731798931
1,3.0,6.0,2.0,0.35,0.335,0.175,0.8935222828602688
2,1.0,2.0,1.0,1.0,1.0,0.5,1.0
3,4.0,8.0,4.0,0.35,0.27260266708333,0.175,0.6161870216436683
4,4.0,8.0,3.0,0.35,0.2746419262564296,0.175,0.3393563392704778
5,4.0,8.0,4.0,0.3499999999999999,0.2917363428123453,0.1749999999999999,0.6088974787626993
6,4.0,8.0,3.0,0.3414331264765412,0.2635431296683517,0.1707165632382706,0.8565650126524761
7,2.0,4.0,2.0,0.5,0.5,0.25,0.5417484922204246
8,4.0,8.0,4.0,0.35,0.2821551464842114,0.175,0.5198955897341935
9,4.0,8.0,4.0,0.35,0.291985474448318,0.175,0.8775913519606603
10,4.0,8.0,4.0,0.35,0.2662029595599813,0.175,0.4629284510685463
11,4.0,8.0,4.0,0.35,0.2634826537918272,0.175,0.5514037698793484
12,4.0,8.0,4.0,0.35,0.2921395851218938,0.175,0.84410338178316
13,4.0,8.0,3.0,0.35,0.2904288431386202,0.175,0.4660628722985611
14,3.0,6.0,3.0,0.35,0.3349992427792008,0.175,0.4599816630018459
15,4.0,8.0,4.0,0.3037403568644916,0.2540675767293796,0.1518701784322458,0.5210822834907987
16,4.0,8.0,4.0,0.2812810316905997,0.2560344493052219,0.1406405158452998,0.3801835653223234
17,4.0,8.0,3.0,0.3465505535871639,0.2673412974601532,0.1732752767935819,0.3536496346896003
18,4.0,8.0,4.0,0.3469300852694381,0.2627589932314914,0.173465042634719,0.5308536242589166
19,4.0,8.0,4.0,0.2874101579844494,0.2556496776007567,0.1437050789922247,0.4385101503520726
20,4.0,8.0,4.0,0.3359576715815475,0.2702492219780628,0.1679788357907737,0.7163615547789131
21,4.0,8.0,3.0,0.2928830191854609,0.2546676685942711,0.1464415095927304,0.6710672009890104
22,4.0,8.0,4.0,0.3009583242140523,0.2583893230599498,0.1504791621070261,0.563409943739536
23,4.0,8.0,4.0,0.35,0.2723279563715812,0.175,0.8087130779515652
24,4.0,8.0,4.0,0.2957089477638702,0.257046079469498,0.1478544738819351,0.5408974286217038
25,4.0,8.0,4.0,0.35,0.2647359119043392,0.175,0.4036047860948091
26,3.0,6.0,3.0,0.35,0.335,0.175,0.3749629232176799
27,4.0,8.0,4.0,0.35,0.2724183010123694,0.175,0.5555095356136793
28,4.0,8.0,3.0,0.35,0.2750652656402084,0.175,0.3382762580080408
29,3.0,6.0,3.0,0.35,0.3349999999999999,0.175,0.432446221352052
