pair,active_days,weighted_pnl,gross_pnl,turnover,absolute_pnl_share
NTRS/SCHW,71,-0.0520508263022508,-0.2157431577531488,12.0,0.07209556387899697
AXP/COF,103,-0.05138130069151685,-0.1763639468528299,25.0,0.07116820441390416
AXP/V,76,-0.04084760238838821,-0.09770743539539531,19.0,0.056577986105257376
AMZN/GOOGL,135,0.0393315597420783,0.06002523595454308,24.0,0.05447811647368549
MS/STT,203,-0.027487716425899148,-0.05496183291941141,42.0,0.038073217204343805
NVDA/NXPI,13,-0.0257604339319637,-0.24753774023269481,4.0,0.0356807594044335
GS/STT,30,-0.025271322091899053,-0.08028469537832,6.0,0.03500329092958953
BMY/PFE,39,-0.023837430800726502,-0.0764581026690888,3.0,0.03301720908378033
INTU/NOW,60,0.021875200786879084,0.1169219023957127,6.0,0.030299325634877153
JNJ/LLY,74,0.02017375257269488,0.111685631834389,9.0,0.02794265087816502
HUM/UNH,112,-0.020095184902673886,-0.047179489750226705,16.0,0.02783382685220373
KO/MNST,40,-0.019677832232853854,-0.04822237780815582,8.0,0.027255751954941648
AMZN/META,50,-0.01810021395527372,-0.0471906685869723,10.0,0.02507059395864999
COST/WMT,63,-0.01686739790154358,-0.040280164004948826,10.0,0.02336302128657291
AVGO/TXN,56,-0.016783562571027397,-0.0822077964397199,5.0,0.0232469010276658
MA/V,90,-0.015797982876542112,-0.025535418286534325,20.0,0.02188177526752905
ADSK/NOW,77,-0.015660591746805546,-0.08012641201473966,14.0,0.021691474907784294
CAT/DE,213,0.015399651754332251,0.09307162090521338,26.0,0.021330047102840304
CRM/MSFT,82,0.014399532499659138,0.10294043423008137,15.0,0.019944782607840685
NSC/UNP,102,-0.01437100304228113,-0.028187284241914325,23.0,0.019905266475956716
GOOGL/MSFT,114,0.014153142256748154,0.06630679209582926,15.0,0.01960350765105518
ADSK/INTU,49,0.012431007097974251,0.0698709742373317,3.0,0.01721817942155344
ADI/MU,40,-0.01231455290606705,-0.08610390572333783,7.0,0.017056878800063412
INTU/MSFT,84,-0.012136145728094702,-0.012975485337025416,22.0,0.016809767139985485
CNC/HUM,89,0.011782924145099447,0.10497277884511166,26.0,0.016320520167182412
AVGO/MCHP,39,-0.010411509291751313,-0.05021166126226925,5.0,0.014420974392634543
ADBE/CRM,82,-0.01018739384376597,-0.03986726997851284,10.0,0.014110552239051964
NXPI/TXN,97,-0.009776714572186408,-0.023713075006185528,20.0,0.013541720661124374
NOW/ORCL,23,-0.009740067561279844,-0.0531586598771977,6.0,0.013490960911405007
AVGO/NXPI,30,-0.009541263412210883,-0.028945692862483705,6.0,0.013215597420624245
ADSK/CRM,40,-0.009072990521623421,-0.06103014954670931,6.0,0.012566992960435473
SCHW/STT,35,-0.008096254004200885,-0.0765515986746944,7.0,0.011214115878794591
MS/SCHW,16,-0.007777133375836399,-0.018444769198950203,8.0,0.010772102114906226
CNC/CVS,87,-0.007724665712849148,-0.03089665197242468,11.0,0.010699429190820188
ABBV/JNJ,76,0.007373989582310101,0.043616099428392806,11.0,0.010213707922471676
MCHP/NXPI,38,0.0072011765963911996,0.028575235485587745,8.0,0.009974344773977382
AMD/MCHP,37,-0.006598033416042163,-0.05575866203415689,3.0,0.00913893156776753
INTU/ORCL,103,0.0065003008953923745,0.057690841009112655,7.0,0.009003562320319916
CNC/UNH,57,-0.006479673883152172,-0.021391102632975,11.0,0.008974991859786572
AMD/AVGO,31,-0.006040583319918129,-0.014135277733060989,6.0,0.008366807821237778
MSFT/ORCL,20,0.005061742296825999,0.024749314780901702,6.0,0.007011015790234616
MA/SYF,60,-0.0050163092352214205,-0.01149644277666589,11.0,0.006948086487708065
ADBE/NOW,65,0.0045650051526082,0.061038814497531,15.0,0.006322985511828138
BJ/COST,35,-0.003961332085475364,-0.010258903125191104,4.0,0.00548683835979679
ADI/MCHP,124,0.003514150679713106,0.016752523168373223,23.0,0.004867447700800884
META/MSFT,10,0.0031802869501916004,0.015086534143404797,6.0,0.004405013277592563
CRM/INTU,44,0.003138730539057145,0.10547261264834963,13.0,0.0043474535209783545
CSX/UNP,57,0.0021707270634147902,0.01297957003469701,3.0,0.003006672569528855
ABBV/MRK,4,-0.0020902424047493998,-0.007338567580820798,2.0,0.0028951933239085214
MCHP/TXN,75,0.001921688829536348,0.019545067294403293,13.0,0.00266172988226705
DE/PCAR,13,-0.0018823868895433999,-0.001953919558390199,4.0,0.002607292792087608
CRM/NOW,37,-0.0016477533795881557,0.0002921332011767007,5.0,0.0022823020780708336
QQQ/XLK,45,0.0011330274263798641,0.010237221218228999,7.0,0.0015693555126461598
IYW/QQQ,28,-0.000794760768826236,0.0057292549462106,8.0,0.0011008225968346425
COF/V,18,-0.0005950004081441055,0.005076097714711998,8.0,0.0008241346580030692
TLH/TLT,30,-0.0004943932823823568,0.0005874477646219848,2.0,0.0006847837969827365
EDV/TLT,8,-0.00029273097748102694,0.00016362577862569997,1.0,0.00040546147651515744
AXP/MA,0,0.0,0.0,0.0,0.0
