pair,universe_mode,peer_group,ticker_y,ticker_x,stage,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period,zscore_window,use_volatility_filter,volatility_percentile,cooldown_days,stability_score,training_score,validation_total_return,validation_sharpe,validation_max_drawdown,validation_volatility,validation_profit_factor,validation_trades,validation_turnover,validation_average_holding_period,validation_win_rate,robust_score,weight,segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
DE/PCAR,stock_peer_groups,industrial_machinery,DE,PCAR,refinement,kalman,2.0,0.5,3.0,10,50,False,0.9,0,0.6385840113005575,0.8545889315363655,0.0777872080445682,3.335066443572567,-0.0064106296972979,0.0484623825519261,21.31654544766485,4.0,8.0,5.25,0.75,2.968225640512564,0.3161592747572313,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
AMD/MCHP,stock_peer_groups,semiconductors,AMD,MCHP,refinement,rolling_252,1.75,0.0,3.5,20,21,False,0.9,0,0.5594865870420953,0.8490425450518491,0.1689739196062611,2.6859995321750763,-0.0531426051346842,0.1364482831547033,4.699397687643946,5.0,10.0,20.0,0.8,2.6079698717316893,0.1122903957923219,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
AMZN/META,stock_peer_groups,mega_cap_platforms,META,AMZN,refinement,rolling_126,1.5,0.5,3.0,20,34,False,0.9,0,0.80841157287216,1.1491745614261748,0.0306335509942776,1.2849219455682204,-0.0204826683522663,0.0484119028783228,2.800018152243516,6.0,11.0,11.666666666666666,0.5,1.4120353967115185,0.3164889378369185,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
MS/STT,stock_peer_groups,capital_markets,MS,STT,refinement,rolling_126,2.0,0.5,3.0,20,39,False,0.9,0,0.7490413512764726,1.0936176369275286,0.0174743997358581,0.5868732781702174,-0.0209053722200052,0.0600711523751123,2.315440507514159,3.0,6.0,14.333333333333334,0.3333333333333333,0.6281084115903687,0.2550613916135282,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
AMD/AVGO,stock_peer_groups,semiconductors,AMD,AVGO,refinement,rolling_252,2.0,0.5,3.5,20,20,False,0.9,0,0.7751920372115001,0.8399235830902758,0.1905247481318086,4.285997141614906,-0.0210400908517004,0.0973750476550842,5.0,5.0,10.0,11.2,1.0,4.129089962639689,0.3,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
MS/STT,stock_peer_groups,capital_markets,MS,STT,refinement,rolling_126,2.0,0.0,3.0,20,35,False,0.9,0,0.7456947861585008,0.915533488667826,0.083091770650675,2.5889613678718857,-0.0230010983813409,0.0668560704687115,12.729752656030648,3.0,5.0,18.666666666666668,0.6666666666666666,2.1835233920471824,0.35,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
MCHP/TXN,stock_peer_groups,semiconductors,TXN,MCHP,refinement,rolling_126,1.5,0.5,3.0,20,24,False,0.9,0,0.8864968294970724,1.1203423696811328,0.0128138731214417,0.4368634526014972,-0.0409344148398788,0.0590389089168858,1.2641346395161026,9.0,17.0,8.0,0.6666666666666666,0.3111101101662605,0.35,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
AMZN/GOOGL,stock_peer_groups,mega_cap_platforms,GOOGL,AMZN,refinement,kalman,1.5,0.0,3.0,20,35,False,0.9,0,0.6776459618446352,0.6829705620475655,0.0523011938091093,1.8312447353164176,-0.0200821191599627,0.0586146681664207,13.146166773987996,4.0,8.0,20.0,0.75,1.7185298829295423,1.0,2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
GOOGL/MSFT,stock_peer_groups,mega_cap_platforms,MSFT,GOOGL,refinement,rolling_252,1.75,0.0,3.0,10,30,False,0.9,0,0.8211522499019175,0.9676357244221248,0.1004548569649093,3.2269352951248385,-0.0217236917061612,0.0653873948251869,15.837551501960323,9.0,17.0,9.333333333333334,0.6666666666666666,3.292869957880968,0.1661684745518839,3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
MS/SCHW,stock_peer_groups,capital_markets,MS,SCHW,refinement,rolling_252,2.0,0.5,3.0,10,50,False,0.9,0,0.8233269851093769,1.1782489816157138,0.0493617861322628,2.738082934173126,-0.0104316485903683,0.0369456150988509,5.0,3.0,6.0,7.666666666666667,1.0,2.2863659856130982,0.2940896673110465,3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
