pair,selected,selection_decision,segment
DE/PCAR,True,selected,0
AMD/MCHP,True,selected,0
MCHP/TXN,False,ticker_concentration,0
AMD/TXN,False,ticker_concentration,0
AMZN/META,True,selected,0
MS/STT,True,selected,0
AMD/AVGO,True,selected,1
AMD/MCHP,False,ticker_concentration,1
MS/STT,True,selected,1
AMD/TXN,False,ticker_concentration,1
MCHP/TXN,True,selected,1
AMZN/GOOGL,True,selected,2
AMZN/META,False,ticker_concentration,2
GOOGL/MSFT,True,selected,3
MS/SCHW,True,selected,3
ADSK/MSFT,False,ticker_concentration,3
HUM/UNH,True,selected,3
TLH/TLT,True,selected,3
NSC/UNP,True,selected,4
AVGO/MCHP,True,selected,4
MCHP/MU,False,ticker_concentration,4
INTU/MSFT,True,selected,4
AVGO/NXPI,False,ticker_concentration,4
ADSK/NOW,True,selected,4
INTU/NOW,True,selected,5
NVDA/NXPI,True,selected,5
KO/MNST,True,selected,5
INTU/MSFT,False,ticker_concentration,5
MCHP/NXPI,False,ticker_concentration,5
HUM/UNH,True,selected,5
CNC/HUM,True,selected,6
INTU/MSFT,True,selected,6
ADBE/CRM,True,selected,6
CRM/INTU,False,ticker_concentration,6
CRM/MSFT,False,ticker_concentration,6
NTRS/SCHW,True,selected,6
CRM/MSFT,True,selected,7
CNC/HUM,True,selected,7
CNC/UNH,False,ticker_concentration,7
CRM/INTU,False,ticker_concentration,7
ADBE/CRM,False,ticker_concentration,7
INTU/MSFT,False,ticker_concentration,7
CNC/UNH,True,selected,8
CNC/HUM,False,ticker_concentration,8
AXP/V,True,selected,8
CRM/INTU,True,selected,8
CRM/MSFT,False,ticker_concentration,8
ADI/MU,True,selected,8
CRM/INTU,True,selected,9
AXP/MA,True,selected,9
CNC/HUM,True,selected,9
AMZN/GOOGL,True,selected,9
ADSK/NOW,True,selected,10
AXP/V,True,selected,10
CSX/UNP,True,selected,10
MA/V,False,ticker_concentration,10
ADSK/INTU,False,ticker_concentration,10
CNC/HUM,True,selected,10
ADBE/NOW,True,selected,11
CNC/UNH,True,selected,11
MS/STT,True,selected,11
ABBV/MRK,True,selected,11
NSC/UNP,True,selected,12
SCHW/STT,True,selected,12
QQQ/XLK,True,selected,12
MA/V,True,selected,12
NOW/ORCL,True,selected,13
MA/V,True,selected,13
ADSK/CRM,True,selected,13
IYW/QQQ,True,selected,13
HUM/UNH,True,selected,14
MCHP/NXPI,True,selected,14
INTU/ORCL,True,selected,14
ADI/MCHP,True,selected,15
AXP/COF,True,selected,15
COST/WMT,True,selected,15
TGT/WMT,False,ticker_concentration,15
CAT/DE,True,selected,15
ADSK/INTU,True,selected,16
ADI/MCHP,True,selected,16
NSC/UNP,True,selected,16
AVGO/MCHP,False,ticker_concentration,16
INTU/ORCL,False,ticker_concentration,16
MCHP/NXPI,False,ticker_concentration,16
AXP/COF,True,selected,16
ADI/MCHP,True,selected,17
COST/WMT,True,selected,17
AVGO/NXPI,True,selected,17
CAT/DE,True,selected,17
NXPI/TXN,True,selected,18
INTU/ORCL,True,selected,18
AXP/COF,True,selected,18
CAT/DE,True,selected,18
ABBV/JNJ,True,selected,19
AXP/COF,True,selected,19
CAT/DE,True,selected,19
AVGO/TXN,True,selected,19
MA/SYF,True,selected,20
COF/MA,False,ticker_concentration,20
JNJ/LLY,True,selected,20
CAT/DE,True,selected,20
INTU/MSFT,True,selected,20
MSFT/ORCL,True,selected,21
GS/STT,True,selected,21
MS/STT,False,ticker_concentration,21
MA/SYF,True,selected,21
SYF/V,False,ticker_concentration,21
COF/V,True,selected,21
BJ/COST,True,selected,22
NTRS/SCHW,True,selected,22
GOOGL/MSFT,True,selected,22
INTU/ORCL,True,selected,22
NXPI/TXN,True,selected,23
GOOGL/MSFT,True,selected,23
JNJ/LLY,True,selected,23
MSFT/ORCL,False,ticker_concentration,23
MCHP/NXPI,False,ticker_concentration,23
EDV/TLT,True,selected,23
CNC/CVS,True,selected,24
ADBE/NOW,True,selected,24
ABBV/JNJ,True,selected,24
MCHP/TXN,True,selected,24
MS/STT,True,selected,25
ADBE/CRM,True,selected,25
CNC/CVS,True,selected,25
NXPI/TXN,True,selected,25
MS/STT,True,selected,26
CRM/NOW,True,selected,26
ADBE/NOW,False,ticker_concentration,26
AMZN/GOOGL,True,selected,26
CNC/CVS,True,selected,27
MS/STT,True,selected,27
ADBE/NOW,True,selected,27
META/MSFT,True,selected,27
MS/STT,True,selected,28
INTU/NOW,True,selected,28
CRM/MSFT,True,selected,28
AAPL/MSFT,False,ticker_concentration,28
META/MSFT,False,ticker_concentration,28
MA/V,True,selected,28
MS/STT,True,selected,29
CRM/MSFT,True,selected,29
BMY/PFE,True,selected,29
MSFT/NOW,False,ticker_concentration,29
META/MSFT,False,ticker_concentration,29
