pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
DE/PCAR,2017-07-13,2017-07-18,long_spread,-2.16864364585658,-0.1939703373243621,4,0.0134830729108526,0.0114632815427426,mean_reversion,0.002,0,stock_peer_groups,industrial_machinery,kalman,0.3161592747572313
DE/PCAR,2017-08-23,2017-09-05,long_spread,-2.2595385664490077,0.0459626483996512,9,-0.0153237315548322,-0.017294743317078,mean_reversion,0.002,0,stock_peer_groups,industrial_machinery,kalman,0.3161592747572313
AMD/MCHP,2017-07-21,2017-08-17,long_spread,-1.8995570631700525,-1.313036497861234,20,-0.0376226249340522,-0.0395281980032145,time_stop,0.002,0,stock_peer_groups,semiconductors,rolling_252,0.1122903957923219
AMD/MCHP,2017-09-08,2017-10-02,long_spread,-2.306785698158265,0.2153180346728396,17,-0.0189447903342213,-0.0199307779215006,time_stop,0.001,0,stock_peer_groups,semiconductors,rolling_252,0.1122903957923219
META/AMZN,2017-07-12,2017-08-08,short_spread,1.9965892273957628,1.900135135907892,20,-0.0572988520027517,-0.0591905997565488,time_stop,0.002,0,stock_peer_groups,mega_cap_platforms,rolling_126,0.3164889378369185
META/AMZN,2017-08-09,2017-09-06,short_spread,1.675250301656542,0.6151987212846391,20,-0.0098486951527718,-0.0118314366204074,time_stop,0.002,0,stock_peer_groups,mega_cap_platforms,rolling_126,0.3164889378369185
META/AMZN,2017-09-14,2017-09-15,long_spread,-2.4371102393942103,-3.704085754849169,2,-0.0027454874853013,-0.004741741997816,stop_loss,0.002,0,stock_peer_groups,mega_cap_platforms,rolling_126,0.3164889378369185
META/AMZN,2017-09-18,2017-09-20,long_spread,-2.275441233874313,0.3918761940655013,3,0.0110452727912773,0.009025502889717,mean_reversion,0.002,0,stock_peer_groups,mega_cap_platforms,rolling_126,0.3164889378369185
META/AMZN,2017-09-26,2017-10-02,long_spread,-2.8379086914302096,-0.0369689140920244,5,0.0129957129211977,0.0109755382633998,mean_reversion,0.002,0,stock_peer_groups,mega_cap_platforms,rolling_126,0.3164889378369185
MS/STT,2017-07-26,2017-08-22,short_spread,2.00902532922056,-2.3380982627443343,20,0.0388790357457893,0.0368133440818754,time_stop,0.002,0,stock_peer_groups,capital_markets,rolling_126,0.2550613916135282
MS/STT,2017-09-11,2017-09-14,long_spread,-2.1482315715925,-0.3410640353796276,4,0.026154864420639,0.0241141686646877,mean_reversion,0.002,0,stock_peer_groups,capital_markets,rolling_126,0.2550613916135282
AMD/AVGO,2017-10-26,2017-11-16,long_spread,-2.3917638941325072,-0.4615581514867184,16,-0.0910239065849115,-0.0928492339785546,mean_reversion,0.002,1,stock_peer_groups,semiconductors,rolling_252,0.3
AMD/AVGO,2017-12-05,2017-12-12,long_spread,-2.913463270488535,-0.4503027576645474,6,0.0140402833186603,0.0120052777852071,mean_reversion,0.002,1,stock_peer_groups,semiconductors,rolling_252,0.3
AMD/AVGO,2017-12-19,2018-01-02,short_spread,2.26480971969276,0.2783517346133922,9,0.0649766401045768,0.0628503801927466,mean_reversion,0.002,1,stock_peer_groups,semiconductors,rolling_252,0.3
MS/STT,2017-10-24,2017-11-20,short_spread,2.0505120738432288,-0.0960231459345406,20,-8.434993993322593e-05,-0.0020872015825476,time_stop,0.002,1,stock_peer_groups,capital_markets,rolling_126,0.35
