segment,selected_pairs,unique_tickers,peer_groups,maximum_pair_weight,pair_weight_hhi,maximum_ticker_weight,maximum_pair_pnl_share
0,1.0,2.0,1.0,1.0,1.0,0.5,1.0
1,1.0,2.0,1.0,1.0,1.0,0.5,1.0
2,1.0,2.0,1.0,1.0,1.0,0.5,1.0
3,3.0,6.0,3.0,0.35,0.335,0.175,0.5073254835429009
4,4.0,8.0,4.0,0.35,0.2741199617428209,0.175,0.4529162941608188
5,3.0,6.0,3.0,0.35,0.335,0.175,0.4752456566496316
6,3.0,6.0,3.0,0.35,0.3347455461352161,0.175,0.6395985255955082
7,2.0,4.0,2.0,0.5,0.5,0.25,0.9911391311141268
8,4.0,8.0,4.0,0.35,0.2755920933296991,0.175,0.4738762443719568
9,2.0,4.0,2.0,0.5,0.5,0.25,0.6211358739391071
10,3.0,6.0,3.0,0.35,0.335,0.175,0.7176284032245375
11,4.0,8.0,4.0,0.35,0.2671939552109871,0.175,0.5762160131289847
12,4.0,8.0,4.0,0.35,0.2677578223356645,0.175,0.583921951648963
13,1.0,2.0,1.0,1.0,1.0,0.5,1.0
14,1.0,2.0,1.0,1.0,1.0,0.5,1.0
15,4.0,8.0,4.0,0.3399935312233139,0.2670235902978866,0.1699967656116569,0.5098580541349784
16,2.0,4.0,2.0,0.5,0.5,0.25,0.7055817247032806
17,1.0,2.0,1.0,1.0,1.0,0.5,1.0
18,3.0,6.0,3.0,0.35,0.335,0.175,0.5205861004209326
19,2.0,4.0,2.0,0.5,0.5,0.25,0.6994191733884472
20,4.0,8.0,4.0,0.327691670320911,0.2715103208600765,0.1638458351604555,0.4193935582186126
21,4.0,8.0,3.0,0.35,0.2634321661424427,0.175,0.6732731184244063
22,3.0,6.0,3.0,0.35,0.3349999999999999,0.175,0.7714827804421823
23,4.0,8.0,4.0,0.35,0.265810226468895,0.175,0.4796601953557043
24,3.0,6.0,3.0,0.35,0.335,0.175,0.6033169540007112
25,4.0,8.0,4.0,0.2805077202351436,0.2526611664143192,0.1402538601175718,0.4503538426315414
26,3.0,6.0,3.0,0.35,0.3345278911329112,0.175,0.6229910978578768
27,3.0,6.0,3.0,0.35,0.335,0.175,0.4864947268477999
28,3.0,6.0,3.0,0.35,0.335,0.175,0.4654358395251481
29,2.0,4.0,2.0,0.5,0.5,0.25,0.7637615235011347
