pair,active_days,weighted_pnl,gross_pnl,turnover,absolute_pnl_share
COST/WMT,36,-0.07412545985671633,-0.07112545985671632,3.0,0.0995670939558412
MCHP/NXPI,177,0.0700857653068744,0.09432346422598593,17.0,0.09414087943286219
AVGO/TXN,25,-0.0565325388455691,-0.0535325388455691,3.0,0.07593586087262581
CAT/DE,62,-0.05246679585956008,-0.17253212533596773,8.0,0.07047465746598572
MSFT/ORCL,69,0.04924603226614062,0.1818052481633765,6.0,0.06614845062780322
NXPI/TXN,60,0.038908288576684186,0.1279584150441333,6.0,0.052262545579670826
CNC/CVS,134,-0.03833227885400276,-0.10881848440264635,13.0,0.051488835517182724
CRM/MSFT,39,-0.033566505018298456,-0.062133010036597505,5.0,0.04508733389831802
AXP/COF,72,-0.029856847674784213,-0.0854119524631364,7.0,0.04010443325959514
CNC/HUM,60,-0.022930870545947727,-0.07990503000523688,6.0,0.030801294812213394
INTU/MSFT,81,0.022750719324122412,0.08150305460135951,9.0,0.03055931137407469
INTU/ORCL,20,-0.0203131061640501,-0.0657103538801684,2.0,0.02728505096468144
MA/V,60,-0.0201926469755597,-0.011365628111744094,6.0,0.027123247296124756
ADBE/NOW,102,0.019780869751691108,0.06678783644807013,9.0,0.02657013826156293
AXP/MA,60,0.0197031495344975,0.050223788177898,6.0,0.026465742603410627
MA/SYF,73,-0.016645400208731786,-0.06711152026340869,7.0,0.022358500435868924
NSC/UNP,76,-0.01570056145201231,-0.03778919917872482,6.0,0.021089370376571433
ADSK/NOW,80,0.0146207103438388,0.055194634840077694,9.0,0.019638888491485505
META/MSFT,106,0.014451472202165075,0.05784338502405237,10.0,0.01941156376411772
JNJ/LLY,112,-0.01075700760138604,-0.0366229627164874,11.0,0.014449070381502086
MS/SCHW,23,-0.010615612103035816,-0.0273303202943882,3.0,0.01425914455984266
CRM/INTU,66,-0.010583681968342251,-0.0141468914475536,7.0,0.01421625523777704
ABBV/JNJ,45,0.01003923167931674,0.025078463358633417,5.0,0.013484936562837632
ADI/MCHP,23,0.010013142452181899,0.0324509793058543,3.0,0.013449892887771183
INTU/NOW,20,-0.0092544588849366,-0.0244413110998199,2.0,0.012430810939832063
MS/STT,181,-0.005967819107537641,0.0436265698472878,18.0,0.008016117632730285
GOOGL/MSFT,20,0.005882046413759062,0.03274311915471927,2.0,0.00790090569506669
COF/V,20,-0.0058076608795365,-0.025188379666930896,2.0,0.007800989262990454
SCHW/STT,34,-0.005281695465458444,-0.018010293821075142,3.0,0.0070944999150354985
TLH/TLT,58,-0.0052638457882671795,-0.0009024703350706079,6.0,0.007070523800898475
ADBE/INTU,15,-0.004043680649443054,-0.01693448207628203,1.0,0.0054315687474825606
AVGO/MCHP,37,-0.003899115748114675,-0.017380215802264305,3.0,0.005237385707794134
HUM/UNH,66,0.0032546880838946637,0.011420533171237736,7.0,0.00437177502672497
QQQ/XLK,24,0.0025286867275880432,0.010224819221680994,3.0,0.0033965926076859904
NTRS/SCHW,40,-0.0023984182627223537,-0.0028526236077777998,4.0,0.00322161288404128
TGT/WMT,31,-0.002238601783447944,-0.005381972008162647,3.0,0.003006943559380556
ABBV/MRK,16,0.0015886864089355998,0.010400713738986402,1.0,0.002133961654344144
ADI/MU,3,0.0013153603183889608,0.011080596680447308,1.0,0.0017668234997796413
BAC/WFC,22,0.0011473389634033603,0.0062781113240103215,3.0,0.0015411331894493341
CNC/UNH,56,-0.0006149433897644722,0.0017770652406189288,5.0,0.00082600669708567
AXP/V,20,-0.0005659076270516637,0.0003831210655660432,2.0,0.0007601406855606142
IYR/VNQ,36,-0.00034521320691323733,0.002013676551676679,3.0,0.0004636986519067537
EEM/VWO,37,0.0002934769042127064,0.0038385054406079766,3.0,0.00039420521035686144
EDV/TLT,8,-0.00029273097748102694,0.00016362577862569997,1.0,0.0003932032636961477
CSX/UNP,65,0.0001442067244710448,0.008412019212773191,8.0,0.00019370192795062515
EEM/IEMG,20,-0.00013020972323625582,0.0016279722193255184,2.0,0.00017490082048042324
