date,pair,strategy_return,strategy_return_gross,position_change,segment,weight,weighted_return
2017-07-05,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-06,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-07,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-07-10,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-11,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-07-12,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-13,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-14,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-07-17,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-07-18,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-19,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-20,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-07-21,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-24,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-25,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-07-26,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-07-27,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-07-28,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-07-31,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-08-01,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-08-02,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-08-03,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-08-04,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-08-07,AVGO/TXN,0.0,0.0,0.0,0,1.0,0.0
2017-08-08,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-08-09,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
2017-08-10,AVGO/TXN,-0.0,-0.0,0.0,0,1.0,-0.0
