segment,selected_pairs,completed_trades,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
0,1.0,2.0,-0.0552791562152861,-0.203448261257489,0.0495126227226438,-4.109018065901107,-3.689423773661878,-3.4110912626141685,-0.0596431597967777,0.1111111111111111,0.25,0.0016475911451228,-0.0525405404665898,-1.406432739431393,7.4947203306250785,-0.0065153688869679,-0.00926777373059,20.0
1,1.0,1.0,-0.0032421588404432,-0.0129057020086281,0.0414826934191207,-0.3111105124789104,-0.2879309840196241,-0.6518149334250611,-0.0197996415037826,0.1587301587301587,0.25,0.0145462398689752,-0.0175333543316035,-0.4682380910830077,5.235911767735168,-0.0044417445085283,-0.006941731232916,31.0
2,1.0,2.0,-0.0043797006432014,-0.0174040475802979,0.0078247124192958,-2.2242411794431165,-2.1192739814701342,-3.296107812522253,-0.0052801815262771,0.238095238095238,0.25,0.0006026943572237,-0.0028436635195584,-1.3965556748953436,3.711201134640654,-0.0009884052304974,-0.0014062122089713,41.0
3,3.0,6.0,-0.0215990378044175,-0.0836371283709371,0.0266775016614596,-3.13511847669626,-3.5824026037510945,-3.1861355338497024,-0.0262503360206655,0.3492063492063492,0.0,-0.0010467054658762,-0.0129182629470773,0.2296372380018663,3.947055984113789,-0.0033876464313389,-0.0039890599994524,52.0
4,4.0,8.0,-0.0115672036344077,-0.0454721862122536,0.035106336286539,-1.2952700572656808,-1.9651048403284348,-1.739998058093862,-0.0261334695178152,0.4126984126984127,0.25,0.0105080654687628,-0.0201789947442503,0.1810017602581566,2.684571245695488,-0.0032425288271454,-0.0045581804889805,30.0
5,3.0,6.0,0.0054967380551838,0.0221689022257287,0.071923269973935,0.308229898804139,0.4923462021261748,0.9177258199600388,-0.024156345766423,0.5079365079365079,0.25,0.0204251478470791,-0.0091136343811955,0.0329783798006955,0.6385368260696591,-0.0067867770225064,-0.0092187803407204,50.0
6,3.0,4.0,-0.0044490953629489,-0.0176779666322585,0.043668785536831,-0.4048192871621903,-0.3929012831152431,-0.8384475265988544,-0.0210841657604606,0.3968253968253968,0.25,0.0117411623681213,-0.0149197614967775,-1.9101953932895304,8.940793264778849,-0.0030642946692232,-0.0069620612495566,24.0
7,2.0,5.0,-0.033223284437957,-0.1264158853023497,0.0714286629042926,-1.769820127694879,-2.1761908381599446,-3.0094754604102225,-0.0420059531853161,0.3968253968253968,0.25,0.0062711869818661,-0.0308778261183972,-0.3914866766523218,1.4368913606590905,-0.0079188294176543,-0.0107103749979221,52.0
8,4.0,7.0,0.0008822397424861,0.0035336317990841,0.0339530370772694,0.1040741006774276,0.1853288026080789,0.1455717253636601,-0.0242741630646791,0.4285714285714285,0.5,0.0089044544684186,-0.0065111790564804,0.8418294058624957,2.113497880938821,-0.0029255901011383,-0.003787103023346,50.0
9,2.0,3.0,0.0067510556952328,0.0272789161409641,0.0422428062409211,0.6457647720036809,0.6962832102347091,0.9175686103791172,-0.0297295655413638,0.3492063492063492,0.75,0.0038128875926319,-0.0014302280231183,-0.4969117048260038,3.4887758635605284,-0.0030806039811592,-0.0066684190297805,48.0
