pair,universe_mode,peer_group,ticker_y,ticker_x,stage,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period,zscore_window,use_volatility_filter,volatility_percentile,cooldown_days,stability_score,training_score,validation_total_return,validation_sharpe,validation_max_drawdown,validation_volatility,validation_profit_factor,validation_trades,validation_turnover,validation_average_holding_period,validation_win_rate,robust_score,weight,segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
AVGO/TXN,stock_peer_groups,semiconductors,AVGO,TXN,refinement,kalman,2.0,0.0,3.5,20,53,False,0.9,0,0.5744600404766871,0.9132971226273412,0.0224181484502514,0.5967594842061441,-0.0372823036862257,0.0759751147327868,2.2559700064491333,3.0,6.0,14.0,0.6666666666666666,0.5408391680743707,1.0,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
MS/STT,stock_peer_groups,capital_markets,MS,STT,refinement,kalman,2.0,0.0,3.5,20,35,False,0.9,0,0.7456947861585008,0.915533488667826,0.0469894393725074,1.4909174230780773,-0.0325385433530307,0.0645152338209144,6.615576298543686,4.0,7.0,16.5,0.75,1.495411508497953,1.0,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
TLH/TLT,etf_peer_groups,long_treasuries,TLH,TLT,refinement,kalman,2.0,0.0,3.5,20,21,False,0.9,0,0.8285451863958898,0.7290348558071632,0.0029005935681529,0.5985018837254387,-0.003366128412045,0.009706904418063,2.7381074792436904,4.0,7.0,16.75,0.5,0.7078500140048404,1.0,2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
HUM/UNH,stock_peer_groups,managed_care,UNH,HUM,refinement,kalman,2.0,0.0,3.5,20,48,False,0.9,0,0.7271124808345438,0.9453187202692892,0.0409494163277064,0.8963504927566883,-0.0436092050523383,0.093239963639624,2.6813646271813703,4.0,7.0,13.0,0.75,0.8921664537703887,0.3,3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
MS/SCHW,stock_peer_groups,capital_markets,MS,SCHW,refinement,kalman,2.0,0.0,3.5,20,33,False,0.9,0,0.8233269851093769,1.1782489816157138,0.0197365965473768,0.7215876601593689,-0.0294609698777444,0.0552430820799007,1.950105016595516,4.0,7.0,16.75,0.75,0.7429244319913934,0.35,3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
TLH/TLT,etf_peer_groups,long_treasuries,TLH,TLT,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.914234611473044,0.8159320438589392,0.0006203942561056,0.1220524359798349,-0.007674953690144,0.0101691817232501,1.1403104599324938,4.0,7.0,18.5,0.5,0.2247290830771973,0.35,3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
NSC/UNP,stock_peer_groups,railroads,UNP,NSC,refinement,kalman,2.0,0.0,3.5,20,35,False,0.9,0,0.7430378664475761,0.907484788017096,0.0353852845920299,1.1992974889292354,-0.0187421033529803,0.0600540634951404,5.0,3.0,5.0,15.333333333333334,1.0,1.1802351120541248,0.299422214327634,4,2016-01-04,2018-01-02,2018-01-03,2018-07-03,2018-07-05,2018-10-02,504,126,63
AVGO/MCHP,stock_peer_groups,semiconductors,AVGO,MCHP,refinement,kalman,2.0,0.0,3.5,20,32,False,0.9,0,0.8957582483473215,0.954052046397022,0.0514162132379369,1.1222375715907549,-0.0408098719106057,0.0939872769631945,5.0,2.0,4.0,16.5,1.0,1.0283315697046476,0.1913186683568761,4,2016-01-04,2018-01-02,2018-01-03,2018-07-03,2018-07-05,2018-10-02,504,126,63
ADSK/NOW,stock_peer_groups,enterprise_software,NOW,ADSK,refinement,kalman,2.0,0.0,3.5,20,40,False,0.9,0,0.8043011365774475,0.98921869461752,0.0162529901496299,0.2902392775487404,-0.0735722067160002,0.1129073234499105,5.0,3.0,6.0,19.666666666666668,1.0,0.4944872631070759,0.1592591173154899,4,2016-01-04,2018-01-02,2018-01-03,2018-07-03,2018-07-05,2018-10-02,504,126,63
QQQ/XLK,etf_peer_groups,us_growth_technology,QQQ,XLK,refinement,kalman,2.0,0.0,3.5,20,34,False,0.9,0,0.9067515669560304,0.9342586173491794,0.0013473716765814,0.1589843340986458,-0.0081380565976144,0.0169611602230237,1.3382364876741002,3.0,5.0,18.0,0.6666666666666666,0.2963094236885242,0.35,4,2016-01-04,2018-01-02,2018-01-03,2018-07-03,2018-07-05,2018-10-02,504,126,63
MCHP/NXPI,stock_peer_groups,semiconductors,MCHP,NXPI,refinement,kalman,2.0,0.0,3.5,20,34,False,0.9,0,0.716250519084053,0.8988567094676162,0.0420199463493395,0.6716737427955622,-0.0467985557995669,0.127748880331023,2.7714667273916787,3.0,6.0,17.333333333333332,0.6666666666666666,0.6669184431358349,0.3,5,2016-04-05,2018-04-04,2018-04-05,2018-10-02,2018-10-03,2019-01-03,504,126,63
HUM/UNH,stock_peer_groups,managed_care,UNH,HUM,refinement,kalman,2.0,0.0,3.5,20,25,False,0.9,0,0.8187856064217548,0.8862363946325642,0.0173040490416911,0.6381328077187816,-0.0327711389850666,0.0547026070034044,1.8134763659463184,4.0,7.0,19.0,0.75,0.659783027575353,0.35,5,2016-04-05,2018-04-04,2018-04-05,2018-10-02,2018-10-03,2019-01-03,504,126,63
INTU/MSFT,stock_peer_groups,enterprise_software,MSFT,INTU,refinement,kalman,2.0,0.0,3.5,20,31,False,0.9,0,0.8178158551332071,1.1885148687453748,0.0013960633636866,0.0522626879230854,-0.033471189675897,0.0534621511316239,1.082308670573085,3.0,6.0,20.0,0.6666666666666666,0.139051070827662,0.35,5,2016-04-05,2018-04-04,2018-04-05,2018-10-02,2018-10-03,2019-01-03,504,126,63
CRM/INTU,stock_peer_groups,enterprise_software,CRM,INTU,refinement,kalman,2.0,0.0,3.5,20,28,False,0.9,0,0.8122650736948958,1.1321916186841667,0.0821181173432572,1.576645999267526,-0.056312592289511,0.1084451550709219,3.383222964424819,4.0,8.0,20.0,0.75,1.476319017277448,0.3473108284832283,6,2016-07-05,2018-07-03,2018-07-05,2019-01-03,2019-01-04,2019-04-04,504,126,63
CNC/HUM,stock_peer_groups,managed_care,HUM,CNC,refinement,kalman,2.0,0.0,3.5,20,57,False,0.9,0,0.672636175324753,1.0490672321673329,0.0503421088309687,0.8295186255083989,-0.0484173140697687,0.1244318601287892,2.541356473477926,4.0,7.0,17.0,0.5,0.8159025919256419,0.3026891715167718,6,2016-07-05,2018-07-03,2018-07-05,2019-01-03,2019-01-04,2019-04-04,504,126,63
NTRS/SCHW,stock_peer_groups,capital_markets,SCHW,NTRS,refinement,kalman,2.0,0.0,3.5,20,37,False,0.9,0,0.729988409491451,0.983006104368178,0.0215732463004372,0.7217113152979673,-0.0348611766286203,0.0604284519757157,2.9611445487009163,2.0,4.0,20.0,0.5,0.6792278556893405,0.35,6,2016-07-05,2018-07-03,2018-07-05,2019-01-03,2019-01-04,2019-04-04,504,126,63
CRM/MSFT,stock_peer_groups,enterprise_software,MSFT,CRM,refinement,kalman,2.0,0.0,3.5,20,27,False,0.9,0,0.8172952826797242,1.0179880205498246,0.063783508487448,1.580844873574845,-0.0320970362952327,0.0832689880773631,5.588253937208186,4.0,8.0,20.0,0.5,1.5604504548461495,0.5,7,2016-10-03,2018-10-02,2018-10-03,2019-04-04,2019-04-05,2019-07-05,504,126,63
CNC/UNH,stock_peer_groups,managed_care,UNH,CNC,refinement,kalman,2.0,0.0,3.5,20,25,False,0.9,0,0.9734664555803716,1.1748063805400266,0.0386333339943121,0.7073658061940715,-0.0727210163602671,0.1113415460494172,3.297946997066622,3.0,6.0,20.0,0.6666666666666666,0.7617891181552527,0.5,7,2016-10-03,2018-10-02,2018-10-03,2019-04-04,2019-04-05,2019-07-05,504,126,63
INTU/MSFT,stock_peer_groups,enterprise_software,MSFT,INTU,refinement,kalman,2.0,0.0,3.5,20,22,False,0.9,0,0.7507987924275866,0.9856782481056536,0.0762102625622782,2.3649500470290303,-0.030755689844324,0.0669056538606989,5.159273058872576,4.0,8.0,20.0,0.5,2.1890118607115023,0.2833975891680209,8,2017-01-03,2019-01-03,2019-01-04,2019-07-05,2019-07-08,2019-10-03,504,126,63
AXP/V,stock_peer_groups,payments_credit,V,AXP,refinement,kalman,2.0,0.0,3.5,20,34,False,0.9,0,0.7260834127810138,1.0862422655727493,0.0197719225917549,0.823413017527317,-0.0243588071309073,0.0484990803599477,4.184657876234674,2.0,4.0,20.0,0.5,0.7980735986158111,0.35,8,2017-01-03,2019-01-03,2019-01-04,2019-07-05,2019-07-08,2019-10-03,504,126,63
CNC/HUM,stock_peer_groups,managed_care,HUM,CNC,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.888705260864553,1.2782488647651542,0.0226299979973534,0.5699951466086428,-0.0489251143767139,0.080302636042433,2.063856610291888,2.0,4.0,20.0,0.5,0.5709343271686486,0.2361180397093434,8,2017-01-03,2019-01-03,2019-01-04,2019-07-05,2019-07-08,2019-10-03,504,126,63
ADI/MU,stock_peer_groups,semiconductors,MU,ADI,refinement,kalman,2.0,0.0,3.5,20,29,False,0.9,0,0.7191823014100311,0.9527126308322248,0.0347302225984862,0.4863108159483646,-0.0666538667036552,0.1453116633256542,1.4867450329666936,5.0,9.0,13.8,0.4,0.4744335667574564,0.1304843711226357,8,2017-01-03,2019-01-03,2019-01-04,2019-07-05,2019-07-08,2019-10-03,504,126,63
AXP/MA,stock_peer_groups,payments_credit,MA,AXP,refinement,kalman,2.0,0.0,3.5,20,44,False,0.9,0,0.4867416016860718,0.8747472374559572,0.0793521623400757,2.314641902412172,-0.0252309566926085,0.0712857959480658,5.0,4.0,7.0,19.25,1.0,2.1110402369186394,0.5,9,2017-04-04,2019-04-04,2019-04-05,2019-10-03,2019-10-04,2020-01-03,504,126,63
CRM/INTU,stock_peer_groups,enterprise_software,CRM,INTU,refinement,kalman,2.0,0.0,3.5,20,29,False,0.9,0,0.7472451459548854,0.7980680442532253,0.0711533205552878,1.695502320099913,-0.0391031837526458,0.086917861680033,4.682628573702343,4.0,7.0,19.25,0.75,1.6512855044231636,0.5,9,2017-04-04,2019-04-04,2019-04-05,2019-10-03,2019-10-04,2020-01-03,504,126,63
MA/V,stock_peer_groups,payments_credit,V,MA,refinement,kalman,2.0,0.0,3.5,20,23,False,0.9,0,0.8243511529460248,0.8472245727133554,0.0187771709018238,1.5590918400152214,-0.0090157863490215,0.0243134644014003,5.867227174044486,3.0,5.0,19.0,0.6666666666666666,1.462735709699194,0.35,10,2017-07-05,2019-07-05,2019-07-08,2020-01-03,2020-01-06,2020-04-03,504,126,63
ADSK/NOW,stock_peer_groups,enterprise_software,NOW,ADSK,refinement,kalman,2.0,0.0,3.5,20,28,False,0.9,0,0.6500054526910903,0.8378574768244446,0.0494481633595969,0.8453071271446996,-0.0365539472228424,0.1198871325279665,5.0,3.0,6.0,20.0,1.0,0.8730296761157572,0.3,10,2017-07-05,2019-07-05,2019-07-08,2020-01-03,2020-01-06,2020-04-03,504,126,63
