pair,selected,selection_decision,segment
AVGO/TXN,True,selected,0
MS/STT,True,selected,1
TLH/TLT,True,selected,2
TLH/VGLT,False,ticker_concentration,2
HUM/UNH,True,selected,3
MS/SCHW,True,selected,3
TLH/TLT,True,selected,3
NSC/UNP,True,selected,4
AVGO/MCHP,True,selected,4
ADSK/NOW,True,selected,4
AVGO/NXPI,False,ticker_concentration,4
QQQ/XLK,True,selected,4
MCHP/NXPI,True,selected,5
HUM/UNH,True,selected,5
AVGO/NXPI,False,ticker_concentration,5
INTU/MSFT,True,selected,5
INTU/NOW,False,ticker_concentration,5
CRM/INTU,True,selected,6
ADBE/CRM,False,ticker_concentration,6
CNC/HUM,True,selected,6
NTRS/SCHW,True,selected,6
INTU/MSFT,False,ticker_concentration,6
CRM/MSFT,True,selected,7
CNC/UNH,True,selected,7
INTU/MSFT,False,ticker_concentration,7
CRM/INTU,False,ticker_concentration,7
INTU/MSFT,True,selected,8
CRM/INTU,False,ticker_concentration,8
AXP/V,True,selected,8
CNC/HUM,True,selected,8
ADI/MU,True,selected,8
AXP/MA,True,selected,9
CRM/INTU,True,selected,9
MA/V,True,selected,10
AXP/V,False,ticker_concentration,10
ADSK/NOW,True,selected,10
CSX/UNP,True,selected,10
ADSK/INTU,False,ticker_concentration,10
CNC/UNH,True,selected,11
ADBE/INTU,True,selected,11
ADBE/NOW,False,ticker_concentration,11
EEM/IEMG,True,selected,11
ABBV/MRK,True,selected,11
MCHP/NXPI,True,selected,12
AXP/MA,True,selected,12
IYR/VNQ,True,selected,12
MA/V,False,ticker_concentration,12
SCHW/STT,True,selected,12
MA/V,True,selected,13
MCHP/NXPI,True,selected,14
TGT/WMT,True,selected,15
COST/WMT,False,ticker_concentration,15
CAT/DE,True,selected,15
AXP/COF,True,selected,15
ADI/MCHP,True,selected,15
MCHP/NXPI,True,selected,16
AVGO/MCHP,False,ticker_concentration,16
NSC/UNP,True,selected,16
ADI/MCHP,False,ticker_concentration,16
COST/WMT,True,selected,17
INTU/ORCL,True,selected,18
CAT/DE,True,selected,18
CSX/UNP,True,selected,18
AXP/COF,True,selected,19
ABBV/JNJ,True,selected,19
MA/SYF,True,selected,20
JNJ/LLY,True,selected,20
ABBV/JNJ,False,ticker_concentration,20
MSFT/ORCL,True,selected,20
COF/MA,False,ticker_concentration,20
NXPI/TXN,True,selected,20
MSFT/ORCL,True,selected,21
COF/V,True,selected,21
MA/SYF,True,selected,21
AXP/V,False,ticker_concentration,21
BAC/WFC,True,selected,21
JNJ/LLY,True,selected,22
NTRS/SCHW,True,selected,22
MSFT/ORCL,True,selected,22
GOOGL/MSFT,True,selected,23
MSFT/ORCL,False,ticker_concentration,23
EDV/TLT,True,selected,23
JNJ/LLY,True,selected,23
MCHP/NXPI,True,selected,23
CNC/CVS,True,selected,24
ADBE/NOW,True,selected,24
NXPI/TXN,True,selected,24
MS/STT,True,selected,25
CNC/CVS,True,selected,25
ADBE/NOW,True,selected,25
NXPI/TXN,True,selected,25
ADBE/NOW,True,selected,26
CRM/NOW,False,ticker_concentration,26
MS/STT,True,selected,26
EEM/VWO,True,selected,26
MS/STT,True,selected,27
CNC/CVS,True,selected,27
META/MSFT,True,selected,27
META/MSFT,True,selected,28
MS/STT,True,selected,28
CRM/MSFT,False,ticker_concentration,28
INTU/NOW,True,selected,28
META/MSFT,True,selected,29
CRM/MSFT,False,ticker_concentration,29
MS/STT,True,selected,29
