pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
AVGO/TXN,2017-08-28,2017-09-25,long_spread,-2.8772050895572168,-2.93131389324649,20,-0.0518573438677341,-0.0537560721592677,time_stop,0.002,0,stock_peer_groups,semiconductors,kalman,1.0
AVGO/TXN,2017-09-26,2017-10-02,long_spread,-2.1571716063199364,-0.3612335300999902,5,-0.0006130339921227,-0.0016096103881946,time_stop,0.001,0,stock_peer_groups,semiconductors,kalman,1.0
MS/STT,2017-10-24,2017-11-20,short_spread,2.258523989570153,-0.4223428599086278,20,-0.0012420183915852,-0.0032421588404432,time_stop,0.002,1,stock_peer_groups,capital_markets,kalman,1.0
TLH/TLT,2018-02-05,2018-03-05,short_spread,2.0236491915239263,-0.572213475102439,20,-0.0014369531511316,-0.003434063348862,time_stop,0.002,2,etf_peer_groups,long_treasuries,kalman,1.0
TLH/TLT,2018-03-15,2018-04-04,long_spread,-2.341515929252656,1.3075072191003472,14,5.12440878615017e-05,-0.0009488958628438,time_stop,0.001,2,etf_peer_groups,long_treasuries,kalman,1.0
UNH/HUM,2018-04-18,2018-05-15,short_spread,2.53304541932241,1.3876798740720082,20,-0.0198374456757414,-0.0217888106603763,time_stop,0.002,3,stock_peer_groups,managed_care,kalman,0.3
UNH/HUM,2018-06-26,2018-07-03,long_spread,-2.054981472836789,-0.9769008914203974,6,-0.0113065397906053,-0.0122939491584416,time_stop,0.001,3,stock_peer_groups,managed_care,kalman,0.3
MS/SCHW,2018-04-17,2018-05-14,long_spread,-2.7880850502715457,0.8193267349411139,20,-0.0296259636063438,-0.031571715372325,time_stop,0.002,3,stock_peer_groups,capital_markets,kalman,0.35
MS/SCHW,2018-06-29,2018-07-03,short_spread,2.935945472005179,1.057262635545806,3,0.0022943335761853,0.0012972204220396,time_stop,0.001,3,stock_peer_groups,capital_markets,kalman,0.35
TLH/TLT,2018-05-14,2018-06-11,long_spread,-2.4100411577622736,-0.3155076646002232,20,0.0006657721676985,-0.0013339042938014,time_stop,0.002,3,etf_peer_groups,long_treasuries,kalman,0.35
TLH/TLT,2018-06-28,2018-07-03,long_spread,-2.013797727498713,-0.0779876279580117,4,-0.0001902370024667,-0.0011905882156988,time_stop,0.001,3,etf_peer_groups,long_treasuries,kalman,0.35
UNP/NSC,2018-07-12,2018-08-08,long_spread,-2.266809519551304,-0.2144773250941246,20,-0.01017429471393,-0.0121594254595314,time_stop,0.002,4,stock_peer_groups,railroads,kalman,0.299422214327634
UNP/NSC,2018-09-06,2018-10-02,short_spread,2.562935310599645,-0.2077502951212454,19,-0.0178915398652383,-0.0188763023385863,time_stop,0.001,4,stock_peer_groups,railroads,kalman,0.299422214327634
AVGO/MCHP,2018-07-17,2018-08-13,long_spread,-2.034953563793937,1.1113624781206948,20,0.0533841112320181,0.0512900201553934,time_stop,0.002,4,stock_peer_groups,semiconductors,kalman,0.1913186683568761
AVGO/MCHP,2018-09-10,2018-10-02,short_spread,3.0418442305967317,-0.355237667563211,17,-0.0694663278143573,-0.0704127239937517,time_stop,0.001,4,stock_peer_groups,semiconductors,kalman,0.1913186683568761
NOW/ADSK,2018-07-26,2018-08-22,long_spread,-2.291155057719135,-0.8819056388816766,20,-0.0043840684881105,-0.0063484669461895,time_stop,0.002,4,stock_peer_groups,enterprise_software,kalman,0.1592591173154899
NOW/ADSK,2018-08-27,2018-09-24,long_spread,-2.63231825511854,-0.2980788492386509,20,0.001099780914457,-0.0008959350386791,time_stop,0.002,4,stock_peer_groups,enterprise_software,kalman,0.1592591173154899
QQQ/XLK,2018-08-01,2018-08-28,short_spread,2.0795620392849665,-0.3762353676902228,20,0.0067851486199237,0.0047753313206366,time_stop,0.002,4,etf_peer_groups,us_growth_technology,kalman,0.35
QQQ/XLK,2018-09-27,2018-10-02,short_spread,2.865370099315709,-1.607013020727167,4,0.0034559193040415,0.0024513030901813,time_stop,0.001,4,etf_peer_groups,us_growth_technology,kalman,0.35
MCHP/NXPI,2018-10-04,2018-10-31,long_spread,-2.2715847535039724,0.9752637264821564,20,-0.0563704730196048,-0.0582777478970913,time_stop,0.002,5,stock_peer_groups,semiconductors,kalman,0.3
MCHP/NXPI,2018-11-09,2018-12-10,short_spread,2.6811200792296987,-1.1539513142558626,20,-0.0036062876026671,-0.0055816370815925,time_stop,0.002,5,stock_peer_groups,semiconductors,kalman,0.3
UNH/HUM,2018-10-17,2018-11-13,short_spread,3.053753129591436,-0.2249102860114033,20,0.0093061572446502,0.0073006363560137,time_stop,0.002,5,stock_peer_groups,managed_care,kalman,0.35
UNH/HUM,2018-11-28,2018-12-27,short_spread,2.0024569241474937,0.5241005313880721,20,0.032463039827957,0.0303983064404147,time_stop,0.002,5,stock_peer_groups,managed_care,kalman,0.35
MSFT/INTU,2018-10-25,2018-11-21,long_spread,-3.0694478965377883,-0.4483565512773199,20,0.0117868060508072,0.0097875823445792,time_stop,0.002,5,stock_peer_groups,enterprise_software,kalman,0.35
MSFT/INTU,2018-11-28,2018-12-27,short_spread,2.02401404852786,0.5269249917213829,20,0.0242770276926223,0.0222267622380212,time_stop,0.002,5,stock_peer_groups,enterprise_software,kalman,0.35
CRM/INTU,2019-02-25,2019-03-22,long_spread,-2.723291443702029,1.2240811009265546,20,0.0027390613256614,0.0007404180554135,time_stop,0.002,6,stock_peer_groups,enterprise_software,kalman,0.3473108284832283
CRM/INTU,2019-03-28,2019-04-04,long_spread,-2.019605373463752,0.1467429033051213,6,-5.373788704376992e-05,-0.0010601193162387,time_stop,0.001,6,stock_peer_groups,enterprise_software,kalman,0.3473108284832283
HUM/CNC,2019-02-28,2019-03-27,long_spread,-2.4319757761258307,-1.3365656235927712,20,-0.0381648520815657,-0.0400913035430982,time_stop,0.002,6,stock_peer_groups,managed_care,kalman,0.3026891715167718
