segment,selected_pairs,unique_tickers,peer_groups,maximum_pair_weight,pair_weight_hhi,maximum_ticker_weight,maximum_pair_pnl_share
0,3.0,6.0,2.0,0.35,0.335,0.175,0.5082675243340062
1,2.0,4.0,2.0,0.5,0.5,0.25,0.7661996654604066
2,3.0,6.0,3.0,0.35,0.335,0.175,0.6240326105590961
3,3.0,6.0,3.0,0.35,0.335,0.175,0.8687062852113835
4,2.0,4.0,2.0,0.5,0.5,0.25,0.7813701536365596
5,2.0,4.0,2.0,0.5,0.5,0.25,0.9522658663656484
6,4.0,8.0,3.0,0.35,0.2845133574349761,0.175,0.5097896787549375
7,2.0,4.0,2.0,0.5,0.5,0.25,0.9510478128821211
8,2.0,4.0,2.0,0.5,0.5,0.25,0.8576652130564899
9,4.0,8.0,3.0,0.35,0.2649777787237382,0.175,0.6012858708388233
10,1.0,2.0,1.0,1.0,1.0,0.5,1.0
11,1.0,2.0,1.0,1.0,1.0,0.5,1.0
12,4.0,8.0,4.0,0.35,0.2690705269622901,0.175,0.5047994102979781
13,4.0,8.0,4.0,0.35,0.2940579990404297,0.175,0.5621316589080335
14,4.0,8.0,4.0,0.35,0.2797991649290664,0.175,0.4456516262936621
15,4.0,8.0,4.0,0.35,0.2909319693895462,0.175,0.5785700109952566
16,3.0,6.0,3.0,0.35,0.335,0.175,0.5546943425892401
17,4.0,8.0,3.0,0.35,0.2653248045065109,0.175,0.4849737597344091
18,4.0,8.0,3.0,0.35,0.2668303014704151,0.175,0.425270768609042
19,2.0,4.0,2.0,0.5,0.5,0.25,0.7696060605676864
20,3.0,6.0,3.0,0.35,0.335,0.175,0.6478758929158955
21,2.0,4.0,2.0,0.5,0.5,0.25,0.8782007667583698
22,1.0,2.0,1.0,1.0,1.0,0.5,1.0
23,2.0,4.0,2.0,0.5,0.5,0.25,0.6002810006562375
24,2.0,4.0,2.0,0.5,0.5,0.25,0.8446330402019644
25,2.0,4.0,2.0,0.5,0.5,0.25,0.8052156430884919
26,3.0,6.0,3.0,0.35,0.335,0.175,0.8095632386855591
27,3.0,6.0,3.0,0.35,0.335,0.175,0.6996779565915755
28,2.0,4.0,2.0,0.5,0.5,0.25,0.962903173383794
29,3.0,6.0,3.0,0.35,0.335,0.175,0.7513450424442468
