pair,active_days,weighted_pnl,gross_pnl,turnover,absolute_pnl_share
LOW/TGT,43,-0.10269996360251589,-0.09469996360251588,8.0,0.15024300400183402
GOOGL/MSFT,114,0.045136523613716006,0.06630679209582847,15.0,0.06603163876640636
AAPL/MSFT,47,-0.04407399756376579,-0.11190976007232686,14.0,0.06447723601907361
HD/WMT,48,-0.0411736010257372,-0.0773472020514753,5.0,0.0602341547814162
COP/CVX,86,-0.038832910498126906,-0.1125602602910081,11.0,0.056809885054623484
GS/WFC,92,-0.03871890550689931,-0.0521761976643368,19.0,0.05664310357045929
COST/WMT,89,-0.028034107832760124,-0.07894417752931149,14.0,0.04101197729345685
INTC/MU,47,-0.026749214359805647,-0.080164047866018,9.0,0.039132266255328486
AAPL/META,14,0.0250848124959361,0.0872931201388053,6.0,0.0366973604664438
ABBV/UNH,144,0.02087357513252808,0.043495220191709115,17.0,0.03053660899342493
COST/TGT,33,-0.0175020411776031,-0.0450058319360094,5.0,0.02560428602354898
AMZN/META,50,-0.017157200576090905,-0.0471906685869706,10.0,0.025099807871312104
AMZN/MSFT,27,-0.0167166914488553,-0.027433382897711,6.0,0.02445537322650292
ABBV/JNJ,54,-0.014919746616814923,-0.028279026329100895,9.0,0.02182656616444566
META/MSFT,47,0.014886286950774558,0.0455322484307861,3.0,0.021777616967557343
AMZN/GOOGL,135,0.01267848450864276,0.06002523595454308,24.0,0.018547753396891572
GOOGL/META,26,0.011341337916444861,0.04498544607739028,9.0,0.016591599628617927
QQQ/VGT,87,-0.011209771153118673,-0.019688655272861785,9.0,0.016399126476188877
IEFA/VWO,40,-0.011181797424353226,-0.026947992641010245,5.0,0.01635820282933035
COP/SLB,40,-0.011113623437652964,-0.0774245832606851,4.0,0.016258468961884483
AMD/AVGO,31,-0.010067638866530278,-0.014135277733060891,6.0,0.014728265263728621
TGT/WMT,16,-0.009724005731751199,-0.0207828735192895,7.0,0.014225553552519102
BAC/MS,36,-0.009639460635436728,-0.0338548175636897,7.0,0.014101869874372217
COP/XOM,14,-0.009464500999264101,-0.013929001998528603,5.0,0.01384591592467676
ABBV/MRK,4,-0.0093385675808208,-0.007338567580820798,2.0,0.013661683969499341
HD/LOW,49,-0.008865306477556477,-0.0433504316745733,7.0,0.012969335429758356
GOVT/TLT,101,-0.007362686749771427,-0.007856333488033253,10.0,0.010771105811599917
IEF/TLT,53,-0.007236854586605485,-0.008569470555159796,7.0,0.010587021985949595
COST/HD,20,0.0072016956021003975,0.024576273148859,4.0,0.010535586802679783
EEM/EFA,23,0.0058458495029745,0.0226916990059493,11.0,0.008552076938107125
EEM/VEA,88,-0.005208627535468193,0.0035041368744735705,12.0,0.007619864897753867
EEM/VWO,45,-0.004204417357845814,0.00010936477340671446,9.0,0.006150774272569795
HD/TGT,40,0.004014701788639954,0.011736639220227902,4.0,0.005873233404749001
LOW/WMT,11,0.0039377871793088,0.015125957264363197,2.0,0.005760712605790734
GS/MS,40,0.003698947806003201,0.014568422302866701,4.0,0.00541130698128407
QQQ/XLK,199,-0.0036298744274425214,0.016948074946010864,25.0,0.005310257365223075
EEM/IEFA,21,0.0035165059892514564,0.016047159969290903,6.0,0.005144407114499086
COST/LOW,40,0.003072977851817249,0.019528046797844013,10.0,0.004495555864800871
MS/WFC,21,0.0030415155906879003,0.011083031181376003,5.0,0.00444952873432341
BAC/C,9,0.002893056941976909,0.0175859364754304,3.0,0.004232343911953659
CVX/XOM,18,-0.0021856142703597483,0.0017553877989720198,8.0,0.003197403796938453
VGT/XLK,14,-0.002009075972387148,-0.0010181519447743554,3.0,0.0029391403732878865
IEI/SHY,28,-0.0019322552250012274,0.0021354895499971095,6.0,0.0028267568879188224
TLH/TLT,74,-0.0017476227792960184,6.792059153455611e-06,5.0,0.002556652281199404
IEFA/VEA,32,-0.0010638715865861194,-3.9633104532007905e-05,3.0,0.0015563711751596006
IEF/TLH,30,-0.0008692281058957874,0.0002615437882084674,2.0,0.001271621110773287
IYW/QQQ,28,-0.000794760768826236,0.0057292549462103996,8.0,0.0011626805033096983
IYR/VNQ,45,-0.0005102551990622645,0.0045439653283590505,6.0,0.0007464683649877204
VEA/VWO,60,-0.00038750721178557935,0.0017416241467364266,4.0,0.0005668964771630561
GOVT/TLH,54,-9.276972558912565e-06,0.002958421882103156,3.0,1.3571574676385381e-05
