pair,universe_mode,peer_group,ticker_y,ticker_x,stage,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period,zscore_window,use_volatility_filter,volatility_percentile,cooldown_days,stability_score,training_score,validation_total_return,validation_sharpe,validation_max_drawdown,validation_volatility,validation_profit_factor,validation_trades,validation_turnover,validation_average_holding_period,validation_win_rate,robust_score,weight,segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
EEM/VEA,etf_peer_groups,international_equity,VEA,EEM,refinement,rolling_126,1.5,0.5,3.0,20,36,False,0.9,0,0.7235787088455857,0.7218699511113219,0.0451009772791208,3.7932190684113047,-0.004765381088272,0.0243160363391309,5.0,8.0,15.0,7.75,1.0,3.897745509011708,0.35,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
AMZN/META,stock_peer_groups,mega_cap_tech,META,AMZN,refinement,rolling_126,1.5,0.5,3.0,20,34,False,0.9,0,0.8084115728721599,1.1491745614261748,0.0306335509942767,1.2849219455681635,-0.0204826683522636,0.0484119028783236,2.8000181522441854,6.0,11.0,11.666666666666666,0.5,1.412035396711498,0.3,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
IEFA/VWO,etf_peer_groups,international_equity,IEFA,VWO,refinement,rolling_126,1.75,0.5,3.0,20,36,False,0.9,0,0.7177890856944348,0.6586585815042598,0.0033032198897398,0.2920274154496038,-0.0161804867063154,0.0226600335825715,1.2261259310114658,5.0,9.0,8.8,0.6,0.3154858721699857,0.35,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
AMD/AVGO,stock_peer_groups,semiconductors,AMD,AVGO,refinement,rolling_252,2.0,0.5,3.5,20,20,False,0.9,0,0.7751920372115001,0.8399235830902758,0.1905247481318086,4.285997141614906,-0.0210400908517004,0.0973750476550842,5.0,5.0,10.0,11.2,1.0,4.129089962639689,0.5,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
GOVT/TLT,etf_peer_groups,treasuries,TLT,GOVT,refinement,static,1.75,0.0,3.0,30,30,False,0.9,0,0.9915529561842136,0.8942360498430236,0.0004700959990058,0.1150642888873362,-0.0040088240061599,0.0081729352986378,1.1338064024721104,4.0,7.0,27.0,0.75,0.2626251795225593,0.5,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
COST/HD,stock_peer_groups,retail_consumer,COST,HD,refinement,static,2.0,0.5,3.5,20,28,False,0.9,0,0.6054486013498331,0.8216434986527049,0.0547761978979342,3.079823814458495,-0.0098624924927887,0.036545216360635,5.0,3.0,6.0,8.333333333333334,1.0,2.4918766678918405,0.35,2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
AMZN/GOOGL,stock_peer_groups,mega_cap_tech,GOOGL,AMZN,refinement,kalman,1.5,0.0,3.0,20,35,False,0.9,0,0.6776459618446351,0.6829705620475663,0.0523011938091095,1.8312447353164245,-0.0200821191599626,0.0586146681664207,13.14616677398868,4.0,8.0,20.0,0.75,1.718529882929548,0.3,2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
GOVT/TLT,etf_peer_groups,treasuries,TLT,GOVT,refinement,kalman,1.75,0.0,3.0,30,20,False,0.9,0,0.7617713878146134,0.6626119164632142,0.0022886245116744,0.3166497528752011,-0.0058342290564388,0.0144717839944447,2.5800498979015525,3.0,6.0,30.0,0.3333333333333333,0.445652293686354,0.35,2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
GOOGL/MSFT,stock_peer_groups,mega_cap_tech,MSFT,GOOGL,refinement,rolling_252,1.75,0.0,3.0,10,30,False,0.9,0,0.8211522499019175,0.9676357244221248,0.1004548569649093,3.2269352951248385,-0.0217236917061612,0.0653873948251869,15.837551501960323,9.0,17.0,9.333333333333334,0.6666666666666666,3.292869957880968,0.35,3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
INTC/MU,stock_peer_groups,semiconductors,INTC,MU,refinement,static,1.5,0.5,3.5,20,41,False,0.9,0,0.4881329313559298,0.710841219792302,0.1649956182787304,2.013794286520217,-0.1323853979144749,0.1773839527700215,2.665311535408435,8.0,16.0,10.5,0.875,1.8739194350770576,0.3,3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
TLH/TLT,etf_peer_groups,treasuries,TLH,TLT,refinement,kalman,2.0,0.0,3.0,30,30,False,0.9,0,0.914234611473044,0.8159320438589392,0.0017744607023348,0.3609977961246066,-0.007767960720963,0.0098395894755762,2.0880016577916978,2.0,4.0,30.0,0.5,0.4817640128129117,0.35,3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
COP/CVX,stock_peer_groups,energy,CVX,COP,refinement,static,1.75,0.0,3.0,10,20,False,0.9,0,0.8017705065244553,0.7959206601290937,0.0694299400484941,1.99160455436106,-0.0556082049353396,0.0721430347995065,4.135923007689689,7.0,14.0,10.0,0.5714285714285714,2.0876735011671514,0.5,4,2016-01-04,2018-01-02,2018-01-03,2018-07-03,2018-07-05,2018-10-02,504,126,63
EEM/EFA,etf_peer_groups,international_equity,EFA,EEM,refinement,kalman,1.75,0.5,3.0,10,28,False,0.9,0,0.7336514482953338,0.7258822940495518,0.0077422549328152,0.5484006251767133,-0.0131519960825562,0.0283450668424496,4.056814944251199,5.0,10.0,5.2,0.8,0.6655463475741774,0.5,4,2016-01-04,2018-01-02,2018-01-03,2018-07-03,2018-07-05,2018-10-02,504,126,63
