pair,selected,selection_decision,segment
EEM/VEA,True,selected,0
AMZN/META,True,selected,0
VEA/VWO,False,ticker_concentration,0
IEFA/VWO,True,selected,0
EEM/IEFA,False,ticker_concentration,0
AMD/AVGO,True,selected,1
AMD/NVDA,False,ticker_concentration,1
GOVT/TLT,True,selected,1
COST/HD,True,selected,2
AMZN/GOOGL,True,selected,2
GOOGL/MSFT,False,ticker_concentration,2
GOVT/TLT,True,selected,2
AMZN/META,False,ticker_concentration,2
GOOGL/MSFT,True,selected,3
INTC/MU,True,selected,3
TLH/TLT,True,selected,3
GOVT/TLT,False,ticker_concentration,3
COP/CVX,True,selected,4
EEM/EFA,True,selected,4
HD/WMT,True,selected,5
VGT/XLK,True,selected,5
COST/HD,False,ticker_concentration,5
GS/WFC,True,selected,6
BAC/MS,True,selected,6
EEM/IEFA,True,selected,6
AAPL/META,True,selected,6
COST/LOW,True,selected,7
AMZN/MSFT,True,selected,7
HD/TGT,True,selected,8
QQQ/XLK,True,selected,8
COST/TGT,False,ticker_concentration,8
LOW/TGT,False,ticker_concentration,8
IYW/XLK,False,ticker_concentration,8
QQQ/XLK,True,selected,9
HD/TGT,True,selected,9
COST/LOW,True,selected,9
AMZN/GOOGL,True,selected,9
LOW/TGT,True,selected,10
ABBV/MRK,True,selected,11
QQQ/XLK,True,selected,12
QQQ/VGT,False,ticker_concentration,12
IYW/XLK,False,ticker_concentration,12
IYR/VNQ,True,selected,12
GOVT/TLH,True,selected,12
IEFA/VEA,True,selected,12
COST/WMT,True,selected,13
EEM/VEA,True,selected,13
IYW/QQQ,True,selected,13
QQQ/XLK,False,ticker_concentration,13
IYR/VNQ,True,selected,13
BAC/C,True,selected,14
COST/TGT,True,selected,14
COP/SLB,True,selected,14
GOOGL/META,True,selected,14
VEA/VWO,True,selected,15
COST/WMT,True,selected,15
TGT/WMT,False,ticker_concentration,15
IEFA/VWO,False,ticker_concentration,15
GOVT/TLT,True,selected,15
CVX/XOM,True,selected,15
ABBV/UNH,True,selected,16
TGT/WMT,True,selected,16
COST/WMT,False,ticker_concentration,16
COST/TGT,False,ticker_concentration,16
TLH/TLT,True,selected,16
COST/WMT,True,selected,17
COP/CVX,True,selected,17
CVX/XOM,False,ticker_concentration,17
HD/LOW,True,selected,17
EEM/VWO,True,selected,17
ABBV/JNJ,True,selected,18
COST/WMT,True,selected,18
HD/LOW,True,selected,18
QQQ/XLK,True,selected,18
COP/XOM,True,selected,19
ABBV/UNH,True,selected,19
CVX/XOM,False,ticker_concentration,19
PFE/UNH,False,ticker_concentration,19
ABBV/JNJ,False,ticker_concentration,19
GS/WFC,True,selected,20
ABBV/JNJ,True,selected,20
QQQ/VGT,True,selected,20
BAC/GS,False,ticker_concentration,20
GS/WFC,True,selected,21
MS/WFC,False,ticker_concentration,21
QQQ/VGT,True,selected,21
BAC/WFC,False,ticker_concentration,21
IYW/QQQ,False,ticker_concentration,21
GS/JPM,False,ticker_concentration,21
GOOGL/MSFT,True,selected,22
GOOGL/MSFT,True,selected,23
MS/WFC,True,selected,23
ABBV/JNJ,True,selected,24
IEI/SHY,True,selected,24
EEM/VWO,True,selected,25
IEF/TLH,True,selected,25
ABBV/UNH,True,selected,26
AMZN/GOOGL,True,selected,26
GS/MS,True,selected,26
AAPL/MSFT,True,selected,27
INTC/MU,True,selected,27
IEF/TLT,True,selected,27
IEF/TLH,False,ticker_concentration,27
META/MSFT,False,ticker_concentration,27
AAPL/MSFT,True,selected,28
META/MSFT,False,ticker_concentration,28
AAPL/META,False,ticker_concentration,28
IEF/TLT,True,selected,28
META/MSFT,True,selected,29
LOW/WMT,True,selected,29
QQQ/XLK,True,selected,29
GOOGL/META,False,ticker_concentration,29
