pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
VEA/EEM,2017-07-06,2017-07-13,long_spread,-1.828472628144464,-3.200139322741134,6,-0.0078932046882187,-0.0098741052765205,stop_loss,0.002,0,etf_peer_groups,international_equity,rolling_126,0.35
VEA/EEM,2017-07-14,2017-08-04,long_spread,-2.9238643932686155,-0.4057037627137605,16,0.0010411390351872,-0.0009622317466047,mean_reversion,0.002,0,etf_peer_groups,international_equity,rolling_126,0.35
VEA/EEM,2017-08-23,2017-09-01,long_spread,-1.6080568992548816,-0.263370116925345,8,-0.0006611754116833,-0.0026607506154628,mean_reversion,0.002,0,etf_peer_groups,international_equity,rolling_126,0.35
VEA/EEM,2017-09-11,2017-10-02,short_spread,1.6619004018576125,1.7020106417198462,16,-0.0084214211874108,-0.0094117300124392,time_stop,0.001,0,etf_peer_groups,international_equity,rolling_126,0.35
META/AMZN,2017-07-12,2017-08-08,short_spread,1.9965892273952448,1.9001351359080896,20,-0.05729885200275,-0.0591905997565472,time_stop,0.002,0,stock_peer_groups,mega_cap_tech,rolling_126,0.3
META/AMZN,2017-08-09,2017-09-06,short_spread,1.6752503016566826,0.615198721284654,20,-0.0098486951527718,-0.0118314366204074,time_stop,0.002,0,stock_peer_groups,mega_cap_tech,rolling_126,0.3
META/AMZN,2017-09-14,2017-09-15,long_spread,-2.437110239393939,-3.704085754848695,2,-0.0027454874853013,-0.004741741997816,stop_loss,0.002,0,stock_peer_groups,mega_cap_tech,rolling_126,0.3
META/AMZN,2017-09-18,2017-09-20,long_spread,-2.275441233874036,0.3918761940655621,3,0.0110452727912773,0.009025502889717,mean_reversion,0.002,0,stock_peer_groups,mega_cap_tech,rolling_126,0.3
META/AMZN,2017-09-26,2017-10-02,long_spread,-2.837908691430121,-0.0369689140919982,5,0.0129957129211977,0.0109755382633998,mean_reversion,0.002,0,stock_peer_groups,mega_cap_tech,rolling_126,0.3
IEFA/VWO,2017-07-06,2017-07-13,long_spread,-2.298553340921233,-3.3633609337716,6,-0.0102412075207538,-0.012216293599302,stop_loss,0.002,0,etf_peer_groups,international_equity,rolling_126,0.35
IEFA/VWO,2017-07-14,2017-08-10,long_spread,-2.9099762342913342,-0.8432407002149335,20,-0.007172935046392,-0.009160166706515,time_stop,0.002,0,etf_peer_groups,international_equity,rolling_126,0.35
IEFA/VWO,2017-09-13,2017-10-02,short_spread,1.909483465582578,1.6716826252020325,14,-0.0095306441108234,-0.0105212388619642,time_stop,0.001,0,etf_peer_groups,international_equity,rolling_126,0.35
AMD/AVGO,2017-10-26,2017-11-16,long_spread,-2.3917638941327115,-0.4615581514867269,16,-0.0910239065849115,-0.0928492339785546,mean_reversion,0.002,1,stock_peer_groups,semiconductors,rolling_252,0.5
AMD/AVGO,2017-12-05,2017-12-12,long_spread,-2.9134632704901344,-0.450302757664665,6,0.0140402833186603,0.0120052777852071,mean_reversion,0.002,1,stock_peer_groups,semiconductors,rolling_252,0.5
AMD/AVGO,2017-12-19,2018-01-02,short_spread,2.264809719693244,0.2783517346132396,9,0.0649766401045768,0.0628503801927466,mean_reversion,0.002,1,stock_peer_groups,semiconductors,rolling_252,0.5
TLT/GOVT,2017-10-16,2017-11-27,short_spread,1.8656411781723024,1.8058538837476457,30,-0.0034422207657209,-0.0054344655607397,time_stop,0.002,1,etf_peer_groups,treasuries,static,0.5
TLT/GOVT,2017-12-05,2018-01-02,short_spread,1.8547256108324115,1.0595148916023398,19,-0.0009795439901806,-0.0019788669458231,time_stop,0.001,1,etf_peer_groups,treasuries,static,0.5
COST/HD,2018-02-08,2018-02-14,long_spread,-2.3623063027296456,0.3937260593613734,5,0.0177268066679456,0.0156953287451231,mean_reversion,0.002,2,stock_peer_groups,retail_consumer,static,0.35
COST/HD,2018-02-16,2018-03-09,short_spread,2.8164460504343616,0.4678957776621051,15,0.0067250623776564,0.0047156588340733,mean_reversion,0.002,2,stock_peer_groups,retail_consumer,static,0.35
GOOGL/AMZN,2018-01-04,2018-02-01,short_spread,1.6934329667482682,-1.7997403345592795,20,0.0149931699008822,0.0129632625983966,time_stop,0.002,2,stock_peer_groups,mega_cap_tech,kalman,0.3
GOOGL/AMZN,2018-02-07,2018-03-07,long_spread,-2.206847785573524,0.2371554150551103,20,-0.0114216483054598,-0.0134090199089721,time_stop,0.002,2,stock_peer_groups,mega_cap_tech,kalman,0.3
GOOGL/AMZN,2018-03-12,2018-04-04,short_spread,1.5001385869735484,0.7886883927587315,17,0.0387777163290694,0.0377404158409524,time_stop,0.001,2,stock_peer_groups,mega_cap_tech,kalman,0.3
TLT/GOVT,2018-02-05,2018-03-19,long_spread,-2.260482826388264,0.4754266208390695,30,0.000204712860911,-0.0017904747693804,time_stop,0.002,2,etf_peer_groups,treasuries,kalman,0.35
TLT/GOVT,2018-03-29,2018-04-04,short_spread,1.7593645014507313,-1.0034439157647634,4,0.0009265954843056,-7.514362927696361e-05,time_stop,0.001,2,etf_peer_groups,treasuries,kalman,0.35
MSFT/GOOGL,2018-05-10,2018-05-23,long_spread,-2.184224318044276,-0.234916200364474,10,0.0113716930611063,0.0093445855227873,time_stop,0.002,3,stock_peer_groups,mega_cap_tech,rolling_252,0.35
MSFT/GOOGL,2018-06-04,2018-06-15,long_spread,-2.078615600427155,-1.9090538175879592,10,-0.0110242586664155,-0.013007439066625,time_stop,0.002,3,stock_peer_groups,mega_cap_tech,rolling_252,0.35
MSFT/GOOGL,2018-06-18,2018-06-29,long_spread,-2.110164585305476,-0.3819862847576946,10,0.0107881209620788,0.0087574388276139,time_stop,0.002,3,stock_peer_groups,mega_cap_tech,rolling_252,0.35
INTC/MU,2018-04-11,2018-05-08,short_spread,1.6850715124486306,1.7237584401944683,20,-0.0448301831440518,-0.0467370819656951,time_stop,0.002,3,stock_peer_groups,semiconductors,static,0.3
INTC/MU,2018-05-09,2018-05-21,short_spread,1.7529855479738026,0.496095378766586,9,0.0222477358283148,0.0202045050854751,mean_reversion,0.002,3,stock_peer_groups,semiconductors,static,0.3
INTC/MU,2018-06-04,2018-06-08,short_spread,1.7148349303874852,0.4634991686144912,5,0.0197316226841781,0.0176979963022427,mean_reversion,0.002,3,stock_peer_groups,semiconductors,static,0.3
INTC/MU,2018-06-19,2018-07-03,long_spread,-1.9710105344735656,-1.6484266621588326,11,-0.0311429663200141,-0.032118847997183,time_stop,0.001,3,stock_peer_groups,semiconductors,static,0.3
TLH/TLT,2018-05-14,2018-06-25,long_spread,-2.5266463573387483,0.7536236432388222,30,0.0005834418250678,-0.0014160701119196,time_stop,0.002,3,etf_peer_groups,treasuries,kalman,0.35
CVX/COP,2018-07-06,2018-07-19,long_spread,-1.818363542074812,-1.758869782597893,10,-0.0199399786896751,-0.0219024687009707,time_stop,0.002,4,stock_peer_groups,energy,static,0.5
CVX/COP,2018-08-10,2018-08-23,long_spread,-1.9382810641286083,-1.7421971681278277,10,-0.0140582899668474,-0.0160263369352934,time_stop,0.002,4,stock_peer_groups,energy,static,0.5
CVX/COP,2018-08-24,2018-09-07,long_spread,-1.8702771494099728,-1.5794314627412105,10,-0.0062827502442427,-0.0082676978569578,time_stop,0.002,4,stock_peer_groups,energy,static,0.5
CVX/COP,2018-09-11,2018-09-24,long_spread,-1.9962590029004208,-0.189356288038813,10,0.0059784771179418,0.0039685566153566,time_stop,0.002,4,stock_peer_groups,energy,static,0.5
EFA/EEM,2018-07-06,2018-07-09,short_spread,1.772797222349604,0.4746734424676218,2,0.0023866679987361,0.0003852813307372,mean_reversion,0.002,4,etf_peer_groups,international_equity,kalman,0.5
EFA/EEM,2018-08-13,2018-08-22,long_spread,-1.9226020676132545,-0.0563131010538991,8,0.0058147985953991,0.003808683771451,mean_reversion,0.002,4,etf_peer_groups,international_equity,kalman,0.5
EFA/EEM,2018-08-31,2018-09-05,short_spread,2.948880989633187,0.3574309016781204,3,0.0039680895626528,0.001967941167472,mean_reversion,0.002,4,etf_peer_groups,international_equity,kalman,0.5
EFA/EEM,2018-09-10,2018-09-14,long_spread,-1.863963164360111,0.0511482752143747,5,0.0067072216967536,0.0047024302748714,mean_reversion,0.002,4,etf_peer_groups,international_equity,kalman,0.5
EFA/EEM,2018-09-18,2018-09-20,short_spread,1.8310066764500008,-0.1715223139762567,3,0.0011255429612864,-0.0008780589235809,mean_reversion,0.002,4,etf_peer_groups,international_equity,kalman,0.5
EFA/EEM,2018-10-01,2018-10-02,long_spread,-1.807890045837362,-0.1542347478010106,2,0.0026510110718971,0.0016489660521781,time_stop,0.001,4,etf_peer_groups,international_equity,kalman,0.5
WMT/HD,2018-10-10,2018-11-06,short_spread,3.103844648142761,0.2977548841847925,20,-0.062012577656656,-0.063881759514634,time_stop,0.002,5,stock_peer_groups,retail_consumer,kalman,0.5
WMT/HD,2018-11-15,2018-12-14,long_spread,-2.129819361230186,-0.5867739989037334,20,-0.0483834515882363,-0.0502949075626932,time_stop,0.002,5,stock_peer_groups,retail_consumer,kalman,0.5
WMT/HD,2018-12-21,2019-01-03,long_spread,-1.822659915616403,1.1973067623422529,8,0.0354925911961081,0.0344628769635328,time_stop,0.001,5,stock_peer_groups,retail_consumer,kalman,0.5
XLK/VGT,2018-11-21,2018-11-29,long_spread,-2.7585088676512552,-0.4431214337037144,6,0.0019925128038713,-1.0667721763168991e-05,mean_reversion,0.002,5,etf_peer_groups,nasdaq_growth,static,0.5
XLK/VGT,2018-12-21,2019-01-03,long_spread,-2.13052737175044,-2.2389746861554265,8,-0.0030177169756386,-0.0040158178039304,time_stop,0.001,5,etf_peer_groups,nasdaq_growth,static,0.5
