segment,selected_pairs,unique_tickers,peer_groups,maximum_pair_weight,pair_weight_hhi,maximum_ticker_weight,maximum_pair_pnl_share
0,3.0,6.0,3.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.5159547569561802
1,4.0,8.0,3.0,0.25,0.25,0.125,0.7464862679688513
2,4.0,8.0,4.0,0.25,0.25,0.125,0.7746231963257136
3,4.0,8.0,4.0,0.25,0.25,0.125,0.4091964426900709
4,4.0,8.0,3.0,0.25,0.25,0.125,0.7019794458023831
5,4.0,8.0,4.0,0.25,0.25,0.125,0.6364487362417061
6,4.0,8.0,4.0,0.25,0.25,0.125,0.4357798907029916
7,4.0,8.0,3.0,0.25,0.25,0.125,0.4819533313087905
8,4.0,8.0,4.0,0.25,0.25,0.125,0.5006916548825119
9,4.0,8.0,4.0,0.25,0.25,0.125,0.50501425402656
10,3.0,6.0,3.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.764886394767385
11,4.0,8.0,4.0,0.25,0.25,0.125,0.5014704360184172
12,4.0,8.0,4.0,0.25,0.25,0.125,0.7237552618458937
13,4.0,8.0,3.0,0.25,0.25,0.125,0.5360566199987193
14,4.0,8.0,4.0,0.25,0.25,0.125,0.7729172679803092
15,4.0,8.0,4.0,0.25,0.25,0.125,0.7214204590438733
16,4.0,8.0,4.0,0.25,0.25,0.125,0.5261676045611593
17,4.0,8.0,4.0,0.25,0.25,0.125,0.4614012659665844
18,4.0,8.0,4.0,0.25,0.25,0.125,0.5784828435265172
19,4.0,8.0,4.0,0.25,0.25,0.125,0.4687073910580185
20,4.0,8.0,4.0,0.25,0.25,0.125,0.4567507028094527
21,4.0,8.0,3.0,0.25,0.25,0.125,0.6001606797624056
22,4.0,8.0,4.0,0.25,0.25,0.125,0.5671339670724488
23,3.0,6.0,3.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.5008845147848432
24,2.0,4.0,2.0,0.5,0.5,0.25,0.646891408154978
25,3.0,6.0,3.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.7387361390641397
26,3.0,6.0,3.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.5375166480563252
27,4.0,8.0,4.0,0.25,0.25,0.125,0.4864947268477999
28,4.0,8.0,4.0,0.25,0.25,0.125,0.4823431453931399
29,4.0,8.0,4.0,0.25,0.25,0.125,0.7470346099706306
