pair,active_days,weighted_pnl,gross_pnl,turnover,absolute_pnl_share
MCHP/NXPI,77,0.033385161078874036,0.14054064431549892,7.0,0.059134680637882686
CNC/CVS,56,-0.032252148854392405,-0.1230085954175712,6.0,0.05712779153241314
NVDA/NXPI,20,-0.031229440754653698,-0.122917763018616,2.0,0.05531628261918839
ADSK/CRM,40,-0.03071816926181426,-0.1188726770472594,4.0,0.0544106743947175
AMZN/META,59,-0.029587823836207734,-0.08718110954614575,7.0,0.05240850895373566
AXP/COF,120,0.0294157750709461,0.1296631002837847,12.0,0.052103761321581
AMD/AVGO,34,-0.028496741214256854,-0.1109869648570273,3.0,0.050475889181550784
MSFT/ORCL,74,0.021795001412227594,0.10451812474138039,7.0,0.03860518884331077
MA/SYF,73,-0.018527880065851696,-0.06711152026340869,7.0,0.03281818134717488
COST/WMT,67,-0.01728601178897339,-0.06314404715589686,6.0,0.030618477000264092
BJ/COST,40,-0.016502649458949463,-0.0620105978357993,4.0,0.029230917985638694
ADI/MU,43,0.014914431292423327,0.0646577251696941,5.0,0.026417728801410436
CRM/INTU,62,0.014429882817042446,0.0637195312681722,6.0,0.025559454693415994
INTC/MU,20,0.014389207883923498,0.059556831535694396,2.0,0.025487407738953992
MS/STT,265,0.01272271290093319,0.04981612639388295,26.0,0.022535567896967246
INTU/ORCL,40,0.01235861527829438,0.05343446111317834,4.0,0.021890646742179623
META/MSFT,106,0.011960846256012512,0.05784338502405237,10.0,0.021186083896288017
ADI/AVGO,22,-0.011368813183633558,-0.0414752527345354,4.0,0.02013742378710113
GS/STT,36,0.0110257482914671,0.0471029931658699,3.0,0.019529757621033993
NTRS/SCHW,40,0.010933199403421481,0.047732797613687,4.0,0.019365827037472062
ADSK/INTU,44,-0.009405731119304702,-0.032622924477218304,5.0,0.016660243291677333
AVGO/MCHP,49,-0.009179862986474876,-0.0307194519459,6.0,0.016260166147535032
NOW/ORCL,20,-0.008900424667670156,-0.0336016986706811,2.0,0.015765200863363898
CRM/NOW,20,-0.00865686963924868,-0.023970608917746494,2.0,0.015333795162207396
NSC/UNP,105,-0.007909732921179023,-0.02163893168471806,10.0,0.014010402080128099
NXPI/TXN,125,0.007725333760198219,0.05538946562913429,14.0,0.013683778360424267
MS/SCHW,23,-0.007582580073596868,-0.0273303202943882,3.0,0.013430920701684586
ABBV/JNJ,85,-0.00730989979149753,0.004419432096321818,9.0,0.012947925835789034
EDV/TLT,58,-0.007213575939576923,-0.008705943286279078,6.0,0.012777308710184083
COF/V,20,-0.0067970949167326,-0.025188379666930896,2.0,0.012039601552820012
MA/V,72,-0.006642402967510527,-0.019569611870044405,7.0,0.01176559781226932
CAT/DE,59,-0.006395444182194993,-0.018581776728780107,7.0,0.011328163082933993
ADI/TXN,40,-0.00522684267039785,-0.016907370681591843,4.0,0.009258235158075181
MCHP/TXN,62,-0.004933830306074074,-0.0006912226133100139,6.0,0.00873922635214787
AXP/V,60,-0.004771026178815573,-0.008717298270055662,6.0,0.008450853621244592
JNJ/LLY,72,0.004691803553026941,0.025767214212107502,7.0,0.008310527664325074
KO/MNST,26,0.004184816171443921,0.019739264685774967,3.0,0.007412507827712101
GOOGL/MSFT,11,0.0037851748612272983,0.0161406994449105,1.0,0.00670462862372888
QQQ/XLK,75,0.003713583708043939,0.02285433483217878,8.0,0.0065778201901857914
ADBE/CRM,20,-0.003456570879355938,-0.011826283517424456,2.0,0.006122576870904003
CNC/HUM,148,0.00323111851185166,-0.00786043387252004,14.0,0.005723236166214203
HUM/UNH,56,-0.003036071901844793,-0.006144287607379359,6.0,0.0053777527652203285
INTU/MSFT,120,0.0029672217074731117,0.023868886829891463,12.0,0.00525579935464949
ADBE/NOW,33,-0.0029510122552734493,-0.005853036765820678,3.0,0.005227087772971706
ABBV/MRK,16,0.0023501784347464997,0.010400713738986402,1.0,0.004162839018581739
AXP/MA,40,0.0022764856330107944,0.013105942532043006,4.0,0.0040323079636122505
INTU/NOW,60,0.0017826180782189,0.013130472312875608,6.0,0.0031575270973155985
CSX/NSC,20,-0.0017300064867693614,-0.0049200259470774475,2.0,0.0030643369026998246
HD/LOW,20,-0.0017229034926033258,-0.0048916139704135025,2.0,0.0030517554659774166
TLH/VGLT,98,-0.0014878651810976723,0.004048539275607846,10.0,0.002635435309374992
ADI/MCHP,20,0.0014070858339844993,0.007628343335937804,2.0,0.0024923519531980186
ADSK/NOW,40,-0.0013541194947668622,-0.0014164779790675971,4.0,0.0023985333986973265
IEI/SCHR,20,-0.0011285273605808098,-0.0025141094423236387,2.0,0.0019989451271897117
EFA/VEA,31,-0.0009788440339018626,-0.000915376135608639,3.0,0.0017338130914609225
AMZN/GOOGL,20,-0.0009280166092368511,-0.0017120664369475007,2.0,0.0016437831671448327
CSX/UNP,65,-0.0009141890311819786,0.008412019212773191,8.0,0.0016192905666646837
CNC/UNH,56,-0.000805733689845288,0.0017770652406189288,5.0,0.001427185099260599
EEM/IEMG,23,-0.0006768922982670719,0.00029243080693076336,3.0,0.0011989700990118967
IEMG/VWO,70,-0.0005920599995754543,0.005031732607975863,7.0,0.0010487078049629184
IEFA/VEA,40,-0.00026246868008264674,0.0029501252796689335,4.0,0.00046490719447076526
GOVT/IEI,26,0.00017463500762833018,0.003523905022884796,3.0,0.0003093286079973529
AVGO/NXPI,37,-2.0535432556600475e-05,0.0029178582697729953,3.0,3.637413170259605e-05
