pair,universe_mode,peer_group,ticker_y,ticker_x,stage,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period,zscore_window,use_volatility_filter,volatility_percentile,cooldown_days,stability_score,training_score,training_candidate_pass,validation_total_return,validation_sharpe,validation_max_drawdown,validation_volatility,validation_profit_factor,validation_trades,validation_turnover,validation_average_holding_period,validation_win_rate,robust_score,weight,segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
MCHP/TXN,stock_peer_groups,semiconductors,TXN,MCHP,refinement,kalman,2.0,0.0,3.5,20,29,False,0.9,0,0.8882420027437417,1.2453659479853532,True,-0.0451650006601258,-1.4089508508729454,-0.0723145566785532,0.0626637359145072,0.0,3.0,6.0,20.0,0.0,1.2453659479853532,0.3333333333333333,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
AMZN/META,stock_peer_groups,mega_cap_platforms,META,AMZN,refinement,kalman,2.0,0.0,3.5,20,34,False,0.9,0,0.80841157287216,1.1491745614261748,True,-0.002895749517163,-0.0989416669339291,-0.0546590173542652,0.0584497295049805,0.9534203862452276,3.0,6.0,20.0,0.6666666666666666,1.1491745614261748,0.3333333333333333,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
MS/STT,stock_peer_groups,capital_markets,MS,STT,refinement,kalman,2.0,0.0,3.5,20,26,False,0.9,0,0.7490413512764726,1.0936176369275286,True,-0.0134756769142883,-0.3312163565224194,-0.0738604807388539,0.080822578453991,0.7327539538098023,4.0,8.0,18.75,0.5,1.0936176369275286,0.3333333333333333,0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
MCHP/TXN,stock_peer_groups,semiconductors,TXN,MCHP,refinement,kalman,2.0,0.0,3.5,20,32,False,0.9,0,0.8864968294970724,1.1203423696811328,True,-0.0494987136579021,-2.002281796991784,-0.0621192305854929,0.0482186397574354,0.1506113841328825,4.0,7.0,17.75,0.25,1.1203423696811328,0.25,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
MS/STT,stock_peer_groups,capital_markets,MS,STT,refinement,kalman,2.0,0.0,3.5,20,35,False,0.9,0,0.7456947861585008,0.915533488667826,True,0.0469894393725074,1.4909174230780773,-0.0325385433530307,0.0645152338209144,6.615576298543686,4.0,7.0,16.5,0.75,0.915533488667826,0.25,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
TLH/VGLT,etf_peer_groups,long_treasuries,TLH,VGLT,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.9951077202979016,0.8951077202979016,True,-0.0036389442322521,-0.908805195071416,-0.0064916309345492,0.0079936234836422,0.2452869365712023,3.0,5.0,14.333333333333334,0.3333333333333333,0.8951077202979016,0.25,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
AMD/AVGO,stock_peer_groups,semiconductors,AMD,AVGO,refinement,kalman,2.0,0.0,3.5,20,23,False,0.9,0,0.7751920372115001,0.8399235830902758,True,-0.0155993333597752,-0.2010305199920557,-0.0839835068829938,0.1539832236393976,0.7053271265199487,3.0,6.0,20.0,0.6666666666666666,0.8399235830902758,0.25,1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
AMZN/META,stock_peer_groups,mega_cap_platforms,META,AMZN,refinement,kalman,2.0,0.0,3.5,20,38,False,0.9,0,0.7984916576335597,1.0636700223793634,True,-0.0624203535314652,-2.2176926233441105,-0.0674427801420955,0.0545361450251669,0.0035495878961957,4.0,8.0,13.5,0.25,1.0636700223793634,0.25,2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
MCHP/TXN,stock_peer_groups,semiconductors,TXN,MCHP,refinement,kalman,2.0,0.0,3.5,20,49,False,0.9,0,0.8894368109546869,0.9876079251818426,True,-0.0650787730664629,-2.859558069997154,-0.0805806910315874,0.0440355804452032,0.0366679878140464,4.0,7.0,17.75,0.25,0.9876079251818426,0.25,2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
EEM/IEMG,etf_peer_groups,emerging_markets,EEM,IEMG,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.9943549069494084,0.8943549069494084,True,-0.0068473413529439,-2.6277757860771027,-0.007877539632596,0.005193668613051,0.0,4.0,8.0,20.0,0.0,0.8943549069494084,0.25,2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
