pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
TXN/MCHP,2017-08-07,2017-09-01,long_spread,-3.0645351002947443,-0.254297440979747,20,-0.0076653982071323,-0.0096509925449445,time_stop,0.002,0,stock_peer_groups,semiconductors,kalman,0.3333333333333333
TXN/MCHP,2017-09-18,2017-10-02,short_spread,3.011502773900748,-0.3612794535275885,11,-0.028220819188267,-0.0291953880410141,time_stop,0.001,0,stock_peer_groups,semiconductors,kalman,0.3333333333333333
META/AMZN,2017-07-12,2017-08-08,short_spread,2.3847416661707093,0.6565325926447929,20,-0.0686052369004217,-0.0704783619904786,time_stop,0.002,0,stock_peer_groups,mega_cap_platforms,kalman,0.3333333333333333
MS/STT,2017-07-07,2017-07-20,short_spread,2.185956240013992,3.557398194875607,10,-0.0063482399107668,-0.0083323136463475,stop_loss,0.002,0,stock_peer_groups,capital_markets,kalman,0.3333333333333333
MS/STT,2017-09-11,2017-10-02,long_spread,-2.2390270962381424,0.3770980314234831,16,0.0372208152152022,0.0361888219586625,time_stop,0.001,0,stock_peer_groups,capital_markets,kalman,0.3333333333333333
TXN/MCHP,2017-10-31,2017-11-28,long_spread,-2.278477561935175,1.0567369451536888,20,0.0421336509092979,0.0400562494740275,time_stop,0.002,1,stock_peer_groups,semiconductors,kalman,0.25
TXN/MCHP,2017-12-15,2018-01-02,short_spread,2.7310051207990145,-2.019782306602995,11,-0.0061354389183971,-0.0071286426456808,time_stop,0.001,1,stock_peer_groups,semiconductors,kalman,0.25
MS/STT,2017-10-24,2017-11-20,short_spread,2.258523989570153,-0.4223428599086278,20,-0.0012420183915852,-0.0032421588404432,time_stop,0.002,1,stock_peer_groups,capital_markets,kalman,0.25
TLH/VGLT,2017-11-30,2017-12-28,short_spread,2.039632047822586,-1.0368461526423656,20,0.0039170107183403,0.0019106337534631,time_stop,0.002,1,etf_peer_groups,long_treasuries,kalman,0.25
AMD/AVGO,2017-10-27,2017-11-24,long_spread,-2.6455583723757985,0.6800271409089165,20,-0.0846160233924933,-0.086470650740113,time_stop,0.002,1,stock_peer_groups,semiconductors,kalman,0.25
AMD/AVGO,2017-12-12,2018-01-02,short_spread,2.5213906287644936,0.7344432803416451,14,-0.0262042920733112,-0.0271677554087809,time_stop,0.001,1,stock_peer_groups,semiconductors,kalman,0.25
META/AMZN,2018-01-04,2018-01-16,short_spread,2.2942343409530856,-4.248699700792946,8,0.0486606438056118,0.0465673380111564,stop_loss,0.002,2,stock_peer_groups,mega_cap_platforms,kalman,0.25
META/AMZN,2018-01-17,2018-02-13,long_spread,-2.664580315086797,-0.3793496642047547,20,-0.0300212791700024,-0.0319602254000785,time_stop,0.002,2,stock_peer_groups,mega_cap_platforms,kalman,0.25
META/AMZN,2018-03-20,2018-04-04,long_spread,-2.369251073757014,0.2411918972144114,11,-0.0366125607148186,-0.0376017106294235,time_stop,0.001,2,stock_peer_groups,mega_cap_platforms,kalman,0.25
EEM/IEMG,2018-01-17,2018-02-13,short_spread,2.080890419861955,-0.5202575439411135,20,0.0001852720896902,-0.0018140273296023,time_stop,0.002,2,etf_peer_groups,emerging_markets,kalman,0.25
EEM/IEMG,2018-04-02,2018-04-04,long_spread,-2.0223112646749524,-0.7234610391320108,3,0.0001049045782992,-0.0008945225115137,time_stop,0.001,2,etf_peer_groups,emerging_markets,kalman,0.25
TLH/VGLT,2018-02-05,2018-03-05,short_spread,2.295277399507746,-0.4736868976592466,20,-0.0015466497271876,-0.0035429657987936,time_stop,0.002,2,etf_peer_groups,long_treasuries,kalman,0.25
TLH/VGLT,2018-03-15,2018-04-04,long_spread,-2.1777761435402043,1.4345151834207075,14,-2.0603000045027464e-05,-0.0010205513601778,time_stop,0.001,2,etf_peer_groups,long_treasuries,kalman,0.25
MS/SCHW,2018-04-17,2018-05-14,long_spread,-2.7880850502715457,0.8193267349411139,20,-0.0296259636063438,-0.031571715372325,time_stop,0.002,3,stock_peer_groups,capital_markets,kalman,0.25
MS/SCHW,2018-06-29,2018-07-03,short_spread,2.935945472005179,1.057262635545806,3,0.0022943335761853,0.0012972204220396,time_stop,0.001,3,stock_peer_groups,capital_markets,kalman,0.25
MSFT/GOOGL,2018-06-19,2018-07-03,long_spread,-2.0712798169672717,1.502350661323987,11,0.016211660321374,0.0151973252376387,time_stop,0.001,3,stock_peer_groups,mega_cap_platforms,kalman,0.25
UNH/HUM,2018-04-18,2018-05-15,short_spread,2.53304541932241,1.3876798740720082,20,-0.0198374456757414,-0.0217888106603763,time_stop,0.002,3,stock_peer_groups,managed_care,kalman,0.25
UNH/HUM,2018-06-26,2018-07-03,long_spread,-2.054981472836789,-0.9769008914203974,6,-0.0113065397906053,-0.0122939491584416,time_stop,0.001,3,stock_peer_groups,managed_care,kalman,0.25
TLH/VGLT,2018-04-06,2018-05-03,short_spread,2.0372181784203,0.5743452354835378,20,0.0010194376244689,-0.0009803850311601,time_stop,0.002,3,etf_peer_groups,long_treasuries,kalman,0.25
TLH/VGLT,2018-05-14,2018-06-11,long_spread,-2.388369682812322,-0.1087451234622573,20,0.000768573275369,-0.0012312467886568,time_stop,0.002,3,etf_peer_groups,long_treasuries,kalman,0.25
TLH/VGLT,2018-06-28,2018-07-03,long_spread,-2.344238895926312,-0.007252458451682,4,-0.0001014366736997,-0.001101645662446,time_stop,0.001,3,etf_peer_groups,long_treasuries,kalman,0.25
MSFT/INTU,2018-07-10,2018-08-06,short_spread,2.006273623668083,0.8574943397642221,20,-0.0405353017272988,-0.0424534685815816,time_stop,0.002,4,stock_peer_groups,enterprise_software,kalman,0.25
MSFT/INTU,2018-08-22,2018-09-19,long_spread,-2.1735400575120902,0.2563137188126786,20,0.0045269180916951,0.0025236758243414,time_stop,0.002,4,stock_peer_groups,enterprise_software,kalman,0.25
AVGO/NXPI,2018-07-16,2018-08-10,long_spread,-3.274153353244956,-0.05582392517667,20,0.0858407944287182,0.0836846302608802,time_stop,0.002,4,stock_peer_groups,semiconductors,kalman,0.25
AVGO/NXPI,2018-09-10,2018-10-02,short_spread,2.396257725669557,-0.3291007926747973,17,-0.0786038368897994,-0.0795480326092341,time_stop,0.001,4,stock_peer_groups,semiconductors,kalman,0.25
NOW/ADSK,2018-07-26,2018-08-22,long_spread,-2.291155057719135,-0.8819056388816766,20,-0.0043840684881105,-0.0063484669461895,time_stop,0.002,4,stock_peer_groups,enterprise_software,kalman,0.25
NOW/ADSK,2018-08-27,2018-09-24,long_spread,-2.63231825511854,-0.2980788492386509,20,0.001099780914457,-0.0008959350386791,time_stop,0.002,4,stock_peer_groups,enterprise_software,kalman,0.25
QQQ/XLK,2018-08-01,2018-08-28,short_spread,2.0795620392849665,-0.3762353676902228,20,0.0067851486199237,0.0047753313206366,time_stop,0.002,4,etf_peer_groups,us_growth_technology,kalman,0.25
QQQ/XLK,2018-09-27,2018-10-02,short_spread,2.865370099315709,-1.607013020727167,4,0.0034559193040415,0.0024513030901813,time_stop,0.001,4,etf_peer_groups,us_growth_technology,kalman,0.25
MSFT/INTU,2018-10-25,2018-11-21,long_spread,-3.0694478965377883,-0.4483565512773199,20,0.0117868060508072,0.0097875823445792,time_stop,0.002,5,stock_peer_groups,enterprise_software,kalman,0.25
MSFT/INTU,2018-11-28,2018-12-27,short_spread,2.02401404852786,0.5269249917213829,20,0.0242770276926223,0.0222267622380212,time_stop,0.002,5,stock_peer_groups,enterprise_software,kalman,0.25
NVDA/NXPI,2018-10-11,2018-11-07,long_spread,-2.554035999519324,-0.2106941407156386,20,-0.1204096084481146,-0.1221902304843929,time_stop,0.002,5,stock_peer_groups,semiconductors,kalman,0.25
KO/MNST,2018-11-21,2018-12-20,long_spread,-2.107646493667095,-0.3956800345456466,20,0.0076704465412964,0.0056446712219657,time_stop,0.002,5,stock_peer_groups,beverages,kalman,0.25
KO/MNST,2018-12-26,2019-01-03,long_spread,-2.799718775707821,-0.5669054966670851,6,0.0114085034848301,0.0104085725564364,time_stop,0.001,5,stock_peer_groups,beverages,kalman,0.25
SCHW/NTRS,2018-10-18,2018-11-14,short_spread,3.3966776666270264,-0.5683240861563925,20,0.0234903211707797,0.0214534270682338,time_stop,0.002,5,stock_peer_groups,capital_markets,kalman,0.25
CRM/INTU,2019-02-25,2019-03-22,long_spread,-2.723291443702029,1.2240811009265546,20,0.0027390613256614,0.0007404180554135,time_stop,0.002,6,stock_peer_groups,enterprise_software,kalman,0.25
CRM/INTU,2019-03-28,2019-04-04,long_spread,-2.019605373463752,0.1467429033051213,6,-5.373788704376992e-05,-0.0010601193162387,time_stop,0.001,6,stock_peer_groups,enterprise_software,kalman,0.25
HUM/CNC,2019-02-28,2019-03-27,long_spread,-2.4319757761258307,-1.3365656235927712,20,-0.0381648520815657,-0.0400913035430982,time_stop,0.002,6,stock_peer_groups,managed_care,kalman,0.25
MU/ADI,2019-01-07,2019-02-04,short_spread,2.142778085078477,0.6448211082449181,20,-0.0005325469861763,-0.0025473487214877,time_stop,0.002,6,stock_peer_groups,semiconductors,kalman,0.25
MU/ADI,2019-03-07,2019-04-03,long_spread,-2.5949151320806294,0.7145806577118575,20,0.0531916247475765,0.0510904217080581,time_stop,0.002,6,stock_peer_groups,semiconductors,kalman,0.25
