segment,selected_pairs,unique_tickers,peer_groups,maximum_pair_weight,pair_weight_hhi,maximum_ticker_weight,maximum_pair_pnl_share
0,3.0,6.0,3.0,0.35,0.3349999999999999,0.175,0.5356690086546355
1,4.0,8.0,3.0,0.35,0.2873535718071326,0.175,0.4921329046563789
2,4.0,8.0,4.0,0.35,0.2905106614765309,0.175,0.5329990866047273
3,4.0,8.0,4.0,0.35,0.271658001352173,0.175,0.4217569756329203
4,4.0,8.0,3.0,0.35,0.2761363130632112,0.175,0.7725988092800425
5,4.0,8.0,4.0,0.3270069141278195,0.2714400979301432,0.1635034570639097,0.4536297463181379
6,4.0,8.0,4.0,0.35,0.2638753967965002,0.175,0.3936779057616386
7,4.0,8.0,3.0,0.35,0.2671105887650244,0.175,0.464177154736319
8,4.0,8.0,4.0,0.3499999999999999,0.2710269271619246,0.1749999999999999,0.4635523232754709
9,4.0,8.0,4.0,0.35,0.2742672237223579,0.175,0.4251458755022375
10,3.0,6.0,3.0,0.35,0.335,0.175,0.7794689316355456
11,4.0,8.0,4.0,0.3100026969954771,0.2593803343602155,0.1550013484977385,0.5659192958824301
12,4.0,8.0,4.0,0.35,0.2843136210204469,0.175,0.5366578765098341
13,4.0,8.0,3.0,0.35,0.2931324559293364,0.175,0.363105652338108
14,4.0,8.0,4.0,0.35,0.2703637936173146,0.175,0.6666925258728648
15,4.0,8.0,4.0,0.35,0.2696138331995755,0.175,0.6140183717955723
16,4.0,8.0,4.0,0.3251229499155665,0.2598670413036363,0.1625614749577832,0.5636329065772887
17,4.0,8.0,4.0,0.35,0.2649514055305334,0.175,0.4905203368934826
18,4.0,8.0,4.0,0.35,0.2656178150995689,0.175,0.485697697923577
19,4.0,8.0,4.0,0.3311722736125415,0.2629874447769038,0.1655861368062707,0.3710298165704108
20,4.0,8.0,4.0,0.3382799604548465,0.2739436062352731,0.1691399802274232,0.4403374193739333
21,4.0,8.0,3.0,0.35,0.2634321661424427,0.175,0.5533048589634924
22,4.0,8.0,4.0,0.35,0.2744747688197546,0.175,0.4561566932720681
23,3.0,6.0,3.0,0.35,0.335,0.175,0.5343408085302211
24,2.0,4.0,2.0,0.5,0.5,0.25,0.6400188704725052
25,3.0,6.0,3.0,0.35,0.3349999999999999,0.175,0.7812068558344384
26,3.0,6.0,3.0,0.35,0.3340652038281891,0.175,0.5521541275368144
27,4.0,8.0,4.0,0.3461477080436481,0.2669565743158913,0.173073854021824,0.4016487331282129
28,4.0,8.0,4.0,0.3151054608070323,0.2621451616628286,0.1575527304035161,0.3849197276241267
29,4.0,8.0,4.0,0.35,0.2901152186179868,0.175,0.715280835268471
