pair,active_days,weighted_pnl,gross_pnl,turnover,absolute_pnl_share
AMZN/META,59,-0.028283002600566393,-0.08718110954614575,7.0,0.05977298071709206
CNC/CVS,56,-0.027029331838919497,-0.1230085954175712,6.0,0.05712348697981816
MS/STT,265,0.020483851325458144,0.04981612639388295,26.0,0.04329034182049225
AXP/COF,120,0.019084517294343097,0.1296631002837847,12.0,0.040333004962030995
MCHP/NXPI,77,0.01905143775399225,0.14054064431549892,7.0,0.04026309503218919
NVDA/NXPI,20,-0.016997071859134183,-0.122917763018616,2.0,0.035921421174098044
MA/SYF,73,-0.016592906824044105,-0.06711152026340869,7.0,0.03506726331857819
COST/WMT,67,-0.01639160517566101,-0.06314404715589686,6.0,0.03464183467095361
ADI/AVGO,22,-0.015916338457087325,-0.0414752527345354,4.0,0.03363741131442457
META/MSFT,106,0.015389081851930522,0.05784338502405237,10.0,0.03252311311426226
ADSK/CRM,40,-0.013568141873267547,-0.1188726770472594,4.0,0.02867475897136004
NTRS/SCHW,40,0.012903784944881704,0.047732797613687,4.0,0.027270714484623742
CRM/INTU,62,0.012696712864069419,0.0637195312681722,6.0,0.026833090669774858
BJ/COST,40,-0.012589144208248481,-0.0620105978357993,4.0,0.02660575627812792
ADI/MU,43,0.011913329795196948,0.0646577251696941,5.0,0.025177497671707783
MSFT/ORCL,74,0.01191184772359226,0.10451812474138039,7.0,0.025174365478188604
AMD/AVGO,34,-0.011259749757010867,-0.1109869648570273,3.0,0.023796228943938735
NSC/UNP,105,-0.01040162315812057,-0.02163893168471806,10.0,0.02198267380721268
INTC/MU,20,0.009773818770634102,0.059556831535694396,2.0,0.020655879050754153
MA/V,72,-0.008836710210039844,-0.019569611870044405,7.0,0.018675404321345446
CRM/NOW,20,-0.008766481886292372,-0.023970608917746494,2.0,0.01852698456901451
NXPI/TXN,125,0.008743294549573071,0.05538946562913429,14.0,0.018477980711461714
CAT/DE,59,-0.008621237209334644,-0.018581776728780107,7.0,0.01822002609654735
GS/STT,36,0.0086009230184027,0.0471029931658699,3.0,0.018177094313101057
AVGO/MCHP,49,-0.008420455720914042,-0.0307194519459,6.0,0.017795696749157857
INTU/ORCL,40,0.008102827803004425,0.05343446111317834,4.0,0.01712442546723104
MS/SCHW,23,-0.007337910755286306,-0.0273303202943882,3.0,0.015507858351315474
ADI/TXN,40,-0.00731757973855705,-0.016907370681591843,4.0,0.015464891008417716
EDV/TLT,58,-0.007227515509933062,-0.008705943286279078,6.0,0.015274550277029685
ADSK/INTU,44,-0.007044471059525546,-0.032622924477218304,5.0,0.014887706186990955
ABBV/JNJ,85,-0.006790990107206392,0.004419432096321818,9.0,0.014352002383222274
NOW/ORCL,20,-0.0067492133187331774,-0.0336016986706811,2.0,0.014263711786672193
JNJ/LLY,72,0.006104510728442375,0.025767214212107502,7.0,0.012901204557791913
COF/V,20,-0.0058076608795367,-0.025188379666930896,2.0,0.012273845414029882
KO/MNST,26,0.005473855289664057,0.019739264685774967,3.0,0.011568384421486062
QQQ/XLK,75,0.005199017191262373,0.02285433483217878,8.0,0.010987544664544659
AXP/V,60,-0.0051510543945189466,-0.008717298270055662,6.0,0.010886180627445384
GOOGL/MSFT,11,0.004008130100513087,0.0161406994449105,1.0,0.008470737233704007
CNC/HUM,148,0.003857877434068591,-0.00786043387252004,14.0,0.008153194932382058
MCHP/TXN,62,-0.003462732365289519,-0.0006912226133100139,6.0,0.007318099772573514
ADBE/CRM,20,-0.0034278518804015563,-0.011826283517424456,2.0,0.007244383746730866
ADBE/NOW,33,-0.0026559110297463434,-0.005853036765820678,3.0,0.005612972604406618
HD/LOW,20,-0.0024120648896445553,-0.0048916139704135025,2.0,0.005097630904796916
INTU/MSFT,120,0.0020974529737796317,0.023868886829891463,12.0,0.004432733607789813
TLH/VGLT,98,-0.0020830112535371085,0.004048539275607846,10.0,0.004402212638083411
CSX/NSC,20,-0.0019064135575850418,-0.0049200259470774475,2.0,0.004028993046659465
ABBV/MRK,16,0.0017452782643648003,0.010400713738986402,1.0,0.0036884515238756153
AXP/MA,40,0.0017208973120226806,0.013105942532043006,4.0,0.0036369250924428837
IEI/SCHR,20,-0.001579938304813166,-0.0025141094423236387,2.0,0.0033390239063903803
EFA/VEA,31,-0.0013703816474625035,-0.000915376135608639,3.0,0.002896149215330932
INTU/NOW,60,-0.0011898493328635314,0.013130472312875608,6.0,0.0025146142449554653
AMZN/GOOGL,20,-0.0011160501735810369,-0.0017120664369475007,2.0,0.002358647928824595
ADSK/NOW,40,-0.0010652153809280528,-0.0014164779790675971,4.0,0.0022512142477576725
ADI/MCHP,20,0.0010569350869391746,0.007628343335937804,2.0,0.002233714767242151
CNC/UNH,56,-0.0010017613690348273,0.0017770652406189288,5.0,0.0021171112501770714
EEM/IEMG,23,-0.0009476492175739731,0.00029243080693076336,3.0,0.0020027512357362696
IEMG/VWO,70,-0.0006888935872077931,0.005031732607975863,7.0,0.0014558999864984345
HUM/UNH,56,0.000539167544678926,-0.006144287607379359,6.0,0.00113947064625769
IEFA/VEA,40,-0.00036745615211577045,0.0029501252796689335,4.0,0.0007765777136531092
GOVT/IEI,26,0.00018336675800959115,0.003523905022884796,3.0,0.0003875252513127261
CSX/UNP,65,0.00014420672447059118,0.008412019212773191,8.0,0.0003047648753135934
AVGO/NXPI,37,-1.2202799959070451e-05,0.0029178582697729953,3.0,2.5789260671829906e-05
