segment,selected_pairs,completed_trades,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
0,3.0,5.0,-0.0304356630648097,-0.1162965904762584,0.0320006654456997,-3.6341928786948494,-3.4570585744567763,-3.294248535678223,-0.0353029193810706,0.4126984126984127,0.25,0.0025592376849767,-0.0239669834466484,-2.1766430570202813,6.572623828697575,-0.0036790366514322,-0.0065237675141026,59.0
1,4.0,6.0,-0.0011436284846821,-0.0045666726032955,0.024419412436815,-0.1870099297070221,-0.2062001938663664,-0.3824274848967859,-0.011941277192794,0.3968253968253968,0.5,0.0139664036898543,-0.0109338282752249,-0.0063918400494506,6.337417220093407,-0.0015810667115013,-0.0038427941554231,16.0
2,4.0,7.0,-0.0055008004444522,-0.021822313819639,0.023119255008806,-0.9439021201732932,-1.4311323848320774,-1.1684559813924535,-0.018676196764925,0.3809523809523809,0.25,0.0042706526482034,-0.0047108569748448,1.044456640496514,3.842888347704085,-0.0025271511264894,-0.0029382459824185,42.0
3,4.0,8.0,-0.0093767035231684,-0.0369825686439758,0.0174487622100515,-2.1194952512259992,-2.587836601520477,-2.5798008080632395,-0.0143354357159614,0.5238095238095238,0.5,0.0012138644370163,-0.0087969850472909,-0.0205646688653167,2.758804840966645,-0.0022118622254902,-0.0026700736226729,53.0
4,4.0,8.0,-0.0109490199484445,-0.0430820295148249,0.0407905429194155,-1.0561769084548935,-1.5737492874818009,-1.7534837489001758,-0.0245693919557834,0.4603174603174603,0.75,0.0040412260146562,-0.0178103771316404,0.3079666438991528,2.130170090818061,-0.0042447415522719,-0.00547629363591,47.0
5,4.0,6.0,0.0031735603136655,0.0127547981163451,0.0495048447598967,0.2576474722465479,0.386109274402713,0.8467817769822932,-0.0150626743076591,0.4285714285714285,0.5,0.0096881929901275,-0.0045057280706933,0.0755968990950298,1.5597636443916008,-0.0042912478386404,-0.0064174058813122,39.0
6,4.0,6.0,0.0098149762086661,0.0398416987168879,0.0446096526771763,0.8931183348412876,1.3114989499680942,3.0956906430373925,-0.012870051730297,0.4761904761904761,0.75,0.0085026015561933,-0.0006468621869873,0.1277263569385577,2.8148805434109194,-0.0039300831102833,-0.0056347066448332,13.0
7,4.0,6.0,-0.0005408514557844,-0.0021616513341088,0.0331412726906808,-0.065225356741254,-0.0722503275222796,-0.2347330000075246,-0.0092089792830132,0.3968253968253968,0.5,0.0036107999271903,-0.0044373425796099,-0.7612208764671151,3.2393711360731974,-0.0037481981037571,-0.0053875607372627,31.0
8,4.0,6.0,0.0007060861441097,0.0028273373306433,0.0370815480974095,0.0762464750181463,0.0936252684256453,0.1266687734421428,-0.022320712941416,0.492063492063492,0.75,0.0034319883401117,-0.0057367686841554,-0.6987586677350226,4.221527586284775,-0.0033864790964126,-0.0054119050635609,50.0
9,4.0,7.0,-0.0028127198972367,-0.0112035001771675,0.0328244897833896,-0.3413152877957879,-0.5202343828475884,-0.929987277257298,-0.0120469391906185,0.4603174603174603,0.25,0.0043937429856726,-0.0052130362414333,0.4692179022128405,1.98511486830043,-0.0033342867882036,-0.0041939571772509,25.0
10,3.0,9.0,0.02083856657427,0.0859961262525581,0.1204855443157348,0.7137464227841605,0.8125040238589438,1.4768554724013423,-0.0582292091945394,0.5396825396825397,0.5,0.0331062644000796,-0.0178129371893364,-0.7744977295087682,5.198209894856962,-0.0073666922716125,-0.0175936423448277,43.0
11,4.0,3.0,-0.0033363867766548,-0.0132789066780159,0.037485289082938,-0.3542431445209261,-0.360483433806833,-0.7146172615531552,-0.0185818442856465,0.1904761904761904,0.5,0.0022887018578972,-0.0078353990589239,0.1066216721073055,6.97796810415586,-0.0025995095193501,-0.0055569611937838,26.0
12,4.0,8.0,0.0105902601067708,0.0430387256038602,0.0284832324348913,1.511019709656927,2.9947651786729943,4.460925137325392,-0.0096479372056139,0.5396825396825397,0.75,0.0141130882259932,-0.0053891989187112,0.2542210377200721,0.1352005954090183,-0.002278708101829,-0.0030952134585431,23.0
13,4.0,6.0,-0.0430598878048825,-0.1614305483482241,0.0363050521872544,-4.446503685371296,-4.642564965157066,-3.7002628903201975,-0.0436267781866317,0.3015873015873015,0.0,0.0,-0.0162852343002444,-1.2958723576111155,2.827058017094777,-0.0049420630491667,-0.0066865095962043,55.0
14,4.0,7.0,0.0175922387806506,0.0722477503639513,0.0281878033641448,2.563085510091617,6.1518809370731145,11.111390900398698,-0.006502133802291,0.4603174603174603,0.5,0.0124054321768469,-0.0006048232806028,0.980325995611512,1.0810460842580882,-0.0021220890170215,-0.002313993380025,20.0
15,4.0,7.0,0.0063327273681605,0.0255725475529495,0.0382980951480989,0.6677237458954655,0.9732794059156924,2.271899250502507,-0.0112560218272413,0.3809523809523809,0.5,0.0096032165189876,-0.0067655767513302,0.5269925866164393,2.9860288813044287,-0.0035374812222158,-0.0050604828394533,25.0
