pair,selected,selection_decision,segment
MCHP/TXN,True,selected,0
AMZN/META,True,selected,0
MS/STT,True,selected,0
MCHP/TXN,True,selected,1
AMD/MCHP,False,ticker_concentration,1
AMD/TXN,False,ticker_concentration,1
MS/STT,True,selected,1
TLH/VGLT,True,selected,1
AMD/AVGO,True,selected,1
AMZN/META,True,selected,2
MCHP/TXN,True,selected,2
EEM/IEMG,True,selected,2
AVGO/MCHP,False,ticker_concentration,2
TLH/VGLT,True,selected,2
MS/SCHW,True,selected,3
GOOGL/MSFT,True,selected,3
ADSK/MSFT,False,ticker_concentration,3
HUM/UNH,True,selected,3
TLH/VGLT,True,selected,3
INTU/MSFT,True,selected,4
INTU/NOW,False,ticker_concentration,4
AVGO/NXPI,True,selected,4
ADSK/NOW,True,selected,4
AVGO/MCHP,False,ticker_concentration,4
QQQ/XLK,True,selected,4
INTU/MSFT,True,selected,5
NVDA/NXPI,True,selected,5
KO/MNST,True,selected,5
NTRS/SCHW,True,selected,5
CRM/INTU,True,selected,6
ADBE/CRM,False,ticker_concentration,6
CRM/MSFT,False,ticker_concentration,6
CNC/HUM,True,selected,6
ADI/MU,True,selected,6
NTRS/SCHW,True,selected,6
ADBE/CRM,True,selected,7
CNC/UNH,True,selected,7
INTU/MSFT,True,selected,7
CRM/MSFT,False,ticker_concentration,7
CRM/INTU,False,ticker_concentration,7
IEI/SCHR,True,selected,7
CNC/HUM,True,selected,8
CNC/UNH,False,ticker_concentration,8
AXP/V,True,selected,8
CRM/INTU,True,selected,8
INTU/MSFT,False,ticker_concentration,8
ADI/MU,True,selected,8
CNC/HUM,True,selected,9
AMZN/GOOGL,True,selected,9
INTU/NOW,True,selected,9
EFA/VEA,True,selected,9
CNC/HUM,True,selected,10
AXP/V,True,selected,10
MA/V,False,ticker_concentration,10
CSX/UNP,True,selected,10
CNC/UNH,True,selected,11
ABBV/MRK,True,selected,11
ADBE/NOW,True,selected,11
MS/STT,True,selected,11
AXP/MA,True,selected,12
AXP/V,False,ticker_concentration,12
MCHP/NXPI,True,selected,12
MA/V,False,ticker_concentration,12
QQQ/XLK,True,selected,12
NSC/UNP,True,selected,12
NOW/ORCL,True,selected,13
ADSK/CRM,True,selected,13
INTU/ORCL,False,ticker_concentration,13
MA/V,True,selected,13
ADI/AVGO,True,selected,13
MCHP/NXPI,True,selected,14
MA/V,True,selected,14
HUM/UNH,True,selected,14
EEM/IEMG,True,selected,14
CSX/NSC,True,selected,15
COST/WMT,True,selected,15
TGT/WMT,False,ticker_concentration,15
AVGO/MCHP,True,selected,15
INTU/ORCL,True,selected,15
NSC/UNP,True,selected,16
AVGO/MCHP,True,selected,16
ADSK/INTU,True,selected,16
AXP/COF,True,selected,16
COST/WMT,True,selected,17
AXP/COF,True,selected,17
ADI/MCHP,True,selected,17
HD/LOW,True,selected,17
CSX/UNP,True,selected,18
NXPI/TXN,True,selected,18
CAT/DE,True,selected,18
AXP/COF,True,selected,18
NXPI/TXN,True,selected,19
ABBV/JNJ,True,selected,19
NSC/UNP,True,selected,19
AVGO/TXN,False,ticker_concentration,19
GS/STT,True,selected,19
MA/SYF,True,selected,20
JNJ/LLY,True,selected,20
CAT/DE,True,selected,20
ABBV/JNJ,False,ticker_concentration,20
NXPI/TXN,True,selected,20
MA/SYF,True,selected,21
COF/V,True,selected,21
MS/STT,True,selected,21
SYF/V,False,ticker_concentration,21
AXP/V,False,ticker_concentration,21
GS/STT,False,ticker_concentration,21
MSFT/ORCL,True,selected,21
JNJ/LLY,True,selected,22
MSFT/ORCL,True,selected,22
ADI/TXN,True,selected,22
BJ/COST,True,selected,22
MSFT/ORCL,True,selected,23
GOOGL/MSFT,False,ticker_concentration,23
NXPI/TXN,True,selected,23
EDV/TLT,True,selected,23
ABBV/JNJ,True,selected,24
BMY/JNJ,False,ticker_concentration,24
EDV/TLT,True,selected,24
MS/STT,True,selected,25
IEMG/VWO,True,selected,25
ADBE/NOW,True,selected,25
MS/STT,True,selected,26
CRM/NOW,True,selected,26
GOVT/IEI,True,selected,26
GOVT/SCHR,False,ticker_concentration,26
MS/STT,True,selected,27
META/MSFT,True,selected,27
ADBE/NOW,True,selected,27
CNC/CVS,True,selected,27
MS/STT,True,selected,28
META/MSFT,True,selected,28
CRM/MSFT,False,ticker_concentration,28
INTC/MU,True,selected,28
INTU/NOW,True,selected,28
MS/STT,True,selected,29
META/MSFT,True,selected,29
CRM/MSFT,False,ticker_concentration,29
MSFT/NOW,False,ticker_concentration,29
IEMG/VWO,True,selected,29
IEFA/VEA,True,selected,29
