segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
0,2015-01-02,2016-12-30,2017-01-03,2017-07-03,2017-07-05,2017-10-02,504,126,63
1,2015-04-06,2017-04-03,2017-04-04,2017-10-02,2017-10-03,2018-01-02,504,126,63
2,2015-07-06,2017-07-03,2017-07-05,2018-01-02,2018-01-03,2018-04-04,504,126,63
3,2015-10-02,2017-10-02,2017-10-03,2018-04-04,2018-04-05,2018-07-03,504,126,63
4,2016-01-04,2018-01-02,2018-01-03,2018-07-03,2018-07-05,2018-10-02,504,126,63
5,2016-04-05,2018-04-04,2018-04-05,2018-10-02,2018-10-03,2019-01-03,504,126,63
6,2016-07-05,2018-07-03,2018-07-05,2019-01-03,2019-01-04,2019-04-04,504,126,63
7,2016-10-03,2018-10-02,2018-10-03,2019-04-04,2019-04-05,2019-07-05,504,126,63
8,2017-01-03,2019-01-03,2019-01-04,2019-07-05,2019-07-08,2019-10-03,504,126,63
9,2017-04-04,2019-04-04,2019-04-05,2019-10-03,2019-10-04,2020-01-03,504,126,63
10,2017-07-05,2019-07-05,2019-07-08,2020-01-03,2020-01-06,2020-04-03,504,126,63
11,2017-10-03,2019-10-03,2019-10-04,2020-04-03,2020-04-06,2020-07-06,504,126,63
12,2018-01-03,2020-01-03,2020-01-06,2020-07-06,2020-07-07,2020-10-02,504,126,63
13,2018-04-05,2020-04-03,2020-04-06,2020-10-02,2020-10-05,2021-01-04,504,126,63
14,2018-07-05,2020-07-06,2020-07-07,2021-01-04,2021-01-05,2021-04-06,504,126,63
15,2018-10-03,2020-10-02,2020-10-05,2021-04-06,2021-04-07,2021-07-06,504,126,63
16,2019-01-04,2021-01-04,2021-01-05,2021-07-06,2021-07-07,2021-10-04,504,126,63
17,2019-04-05,2021-04-06,2021-04-07,2021-10-04,2021-10-05,2022-01-03,504,126,63
18,2019-07-08,2021-07-06,2021-07-07,2022-01-03,2022-01-04,2022-04-04,504,126,63
19,2019-10-04,2021-10-04,2021-10-05,2022-04-04,2022-04-05,2022-07-06,504,126,63
20,2020-01-06,2022-01-03,2022-01-04,2022-07-06,2022-07-07,2022-10-04,504,126,63
21,2020-04-06,2022-04-04,2022-04-05,2022-10-04,2022-10-05,2023-01-04,504,126,63
22,2020-07-07,2022-07-06,2022-07-07,2023-01-04,2023-01-05,2023-04-05,504,126,63
23,2020-10-05,2022-10-04,2022-10-05,2023-04-05,2023-04-06,2023-07-07,504,126,63
24,2021-01-05,2023-01-04,2023-01-05,2023-07-07,2023-07-10,2023-10-05,504,126,63
25,2021-04-07,2023-04-05,2023-04-06,2023-10-05,2023-10-06,2024-01-05,504,126,63
26,2021-07-07,2023-07-07,2023-07-10,2024-01-05,2024-01-08,2024-04-08,504,126,63
27,2021-10-05,2023-10-05,2023-10-06,2024-04-08,2024-04-09,2024-07-09,504,126,63
28,2022-01-04,2024-01-05,2024-01-08,2024-07-09,2024-07-10,2024-10-07,504,126,63
29,2022-04-05,2024-04-08,2024-04-09,2024-10-07,2024-10-08,2024-12-31,504,126,59
